framework,path,compileSdkVersion,targetSdkVersion,minSdkVersion
android,repositories/googlesamples/android-Camera2Video/kotlinApp/Application/build.gradle,27,27,24
android,repositories/googlesamples/android-Notifications/build.gradle,,,
android,repositories/googlesamples/android-Notifications/Application/build.gradle,28,28,18
android,repositories/googlesamples/android-Notifications/Shared/build.gradle,28,28,18
android,repositories/googlesamples/android-Notifications/Wearable/build.gradle,28,28,23
android,repositories/googlesamples/android-BasicAccessibility/build.gradle,,,
android,repositories/googlesamples/android-BasicAccessibility/Application/build.gradle,27,27,11
android,repositories/googlesamples/android-MediaEffects/build.gradle,,,
android,repositories/googlesamples/android-MediaEffects/Application/build.gradle,27,27,14
android,repositories/googlesamples/android-DirectBoot/build.gradle,,,
android,repositories/googlesamples/android-DirectBoot/Application/build.gradle,25,25,24
android,repositories/googlesamples/leanback-showcase/build.gradle,,,
android,repositories/googlesamples/leanback-showcase/app/build.gradle,28,28,21
android,repositories/googlesamples/android-MessagingService/build.gradle,,,
android,repositories/googlesamples/android-MessagingService/Application/build.gradle,24,24,21
android,repositories/googlesamples/androidtv-sample-inputs/build.gradle,,,
android,repositories/googlesamples/androidtv-sample-inputs/library/build.gradle,27,27,21
android,repositories/googlesamples/androidtv-sample-inputs/app/build.gradle,27,27,21
android,repositories/googlesamples/leanback-homescreen-channels/build.gradle,,,
android,repositories/googlesamples/leanback-homescreen-channels/app/build.gradle,27,27,26
android,repositories/googlesamples/androidtv-Leanback/build.gradle,,,
android,repositories/googlesamples/androidtv-Leanback/app/build.gradle,28,28,21
android,repositories/googlesamples/android-BluetoothChat/build.gradle,,,
android,repositories/googlesamples/android-BluetoothChat/Application/build.gradle,27,27,11
android,repositories/googlesamples/android-MediaRecorder/build.gradle,,,
android,repositories/googlesamples/android-MediaRecorder/Application/build.gradle,28,28,16
android,repositories/googlesamples/android-fit/BasicRecordingApi/build.gradle,,,
android,repositories/googlesamples/android-fit/BasicRecordingApi/app/build.gradle,26,26,14
android,repositories/googlesamples/android-fit/BasicHistorySessions/build.gradle,,,
android,repositories/googlesamples/android-fit/BasicHistorySessions/app/build.gradle,26,26,14
android,repositories/googlesamples/android-fit/BasicSensorsApi/build.gradle,,,
android,repositories/googlesamples/android-fit/BasicSensorsApi/app/build.gradle,26,26,14
android,repositories/googlesamples/android-fit/BasicHistoryApi/build.gradle,,,
android,repositories/googlesamples/android-fit/BasicHistoryApi/app/build.gradle,26,26,14
android,repositories/googlesamples/android-fit/StepCounter/build.gradle,,,
android,repositories/googlesamples/android-fit/StepCounter/app/build.gradle,26,26,14
android,repositories/googlesamples/android-DisplayingBitmaps/build.gradle,,,
android,repositories/googlesamples/android-DisplayingBitmaps/Application/build.gradle,27,22,9
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint/build.gradle,27,27,14
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint/module-plain-java/build.gradle,,,
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint/module-flavor1-androidTest-only/build.gradle,,,
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint/module-android-library/build.gradle,,,
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint/app/build.gradle,,,
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint-kotlinApp/build.gradle,27,27,14
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint-kotlinApp/module-flavor1-androidTest-only/build.gradle,,,
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint-kotlinApp/module-plain-kotlin/build.gradle,,,
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint-kotlinApp/module-android-library/build.gradle,,,
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint-kotlinApp/app/build.gradle,,,
android,repositories/googlesamples/android-ActivityInstrumentation/build.gradle,,,
android,repositories/googlesamples/android-ActivityInstrumentation/Application/build.gradle,27,27,7
android,repositories/googlesamples/chromeos-android-draganddrop-demo/build.gradle,,,
android,repositories/googlesamples/chromeos-android-draganddrop-demo/app/build.gradle,26,26,24
android,repositories/googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer/build.gradle,,,
android,repositories/googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer/app/build.gradle,27,27,25
android,repositories/googlesamples/android-CustomChoiceList/build.gradle,,,
android,repositories/googlesamples/android-CustomChoiceList/Application/build.gradle,27,27,7
android,repositories/googlesamples/android-WatchViewStub/build.gradle,,,
android,repositories/googlesamples/android-WatchViewStub/Wearable/build.gradle,27,25,24
android,repositories/googlesamples/android-Timer/build.gradle,,,
android,repositories/googlesamples/android-Timer/Wearable/build.gradle,27,22,24
android,repositories/googlesamples/android-TextSwitcher/build.gradle,,,
android,repositories/googlesamples/android-TextSwitcher/Application/build.gradle,27,27,7
android,repositories/googlesamples/android-TextLinkify/build.gradle,,,
android,repositories/googlesamples/android-TextLinkify/Application/build.gradle,27,27,7
android,repositories/googlesamples/android-SynchronizedNotifications/build.gradle,,,
android,repositories/googlesamples/android-SynchronizedNotifications/Application/build.gradle,27,27,18
android,repositories/googlesamples/android-SynchronizedNotifications/Shared/build.gradle,27,27,18
android,repositories/googlesamples/android-SynchronizedNotifications/Wearable/build.gradle,27,25,18
android,repositories/googlesamples/android-SwipeRefreshMultipleViews/build.gradle,,,
android,repositories/googlesamples/android-SwipeRefreshMultipleViews/Application/build.gradle,27,27,9
android,repositories/googlesamples/android-SwipeRefreshListFragment/build.gradle,,,
android,repositories/googlesamples/android-SwipeRefreshListFragment/Application/build.gradle,27,27,14
android,repositories/googlesamples/android-SwipeRefreshLayoutBasic/build.gradle,,,
