Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
,,13.0,12.0,14.0,10.0,120.0,6.0,69.0,39.0,21.0,43.0,9.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,72.0,30.0,73.0,205.0,0.0,15.0,21.0,37.0,0.0,1527.0,188.0,683.0,217.0,394.0,659.0,0.0,0.0,0.0,305.0,436.0,172.0,264.0,0.0,0.0,0.0,0.0,0.0,32.0,30.0,34.0,14.0,0.0,19.0,10.0,0.0,340.0,314.0,10.690000000000001,119.0,116.0,123.0,77.0,11,0a2dc15265dd595f555aa1ff87a29615a1635cfd,2014-11-22 16:41:26-08:00,0.19017197702244934
,,20.0,15.0,21.0,13.0,151.0,6.0,92.0,44.0,27.0,54.0,13.0,0.0,0.0,2.0,36.0,0.0,0.0,0.0,93.0,38.0,95.0,263.0,0.0,21.0,27.0,47.0,0.0,1968.0,237.0,894.0,290.0,521.0,840.0,0.0,0.0,0.0,390.0,556.0,224.0,332.0,0.0,0.0,0.0,0.0,0.0,45.0,36.0,48.0,17.0,0.0,24.0,13.0,0.0,427.0,398.0,12.849999999999998,157.0,147.0,162.0,99.0,13,a72024cf3de9b7367a7f371cb6163363a831061e,2014-12-03 18:56:03-08:00,0.26762859533664596
,,20.0,15.0,21.0,13.0,151.0,6.0,92.0,44.0,27.0,54.0,13.0,0.0,0.0,2.0,36.0,0.0,0.0,0.0,93.0,38.0,95.0,263.0,0.0,21.0,27.0,47.0,0.0,1970.0,237.0,896.0,290.0,523.0,840.0,0.0,0.0,0.0,391.0,557.0,224.0,333.0,0.0,0.0,0.0,0.0,0.0,45.0,36.0,48.0,17.0,0.0,24.0,13.0,0.0,427.0,398.0,12.82,157.0,147.0,162.0,99.0,13,ffbc9f6a6352b1bde90b65ff9efd69e932bd8186,2015-01-06 15:15:19-08:00,0.26762859533664596
,,20.0,15.0,21.0,13.0,154.0,6.0,92.0,45.0,27.0,54.0,13.0,0.0,0.0,2.0,36.0,0.0,0.0,0.0,89.0,38.0,91.0,259.0,0.0,21.0,27.0,43.0,0.0,1942.0,236.0,885.0,286.0,519.0,824.0,0.0,0.0,0.0,387.0,549.0,220.0,329.0,0.0,0.0,0.0,0.0,0.0,45.0,36.0,48.0,17.0,0.0,24.0,13.0,0.0,418.0,388.0,12.77,153.0,143.0,158.0,95.0,13,fd1c75ffbb7172a9055c5ed861e24d008bfb613d,2015-01-06 15:03:19-08:00,0.2188040416551909
,,20.0,15.0,21.0,13.0,168.0,6.0,100.0,50.0,27.0,63.0,14.0,0.0,0.0,2.0,42.0,0.0,0.0,0.0,96.0,39.0,98.0,266.0,0.0,26.0,28.0,44.0,0.0,2124.0,257.0,978.0,305.0,586.0,892.0,0.0,0.0,0.0,430.0,608.0,240.0,368.0,0.0,0.0,0.0,0.0,0.0,46.0,37.0,49.0,17.0,0.0,24.0,14.0,0.0,442.0,413.0,12.76,164.0,154.0,169.0,102.0,13,6623844837698fec24fa83bacab31a0c2743144f,2014-12-29 08:43:42-08:00,0.19859501929216397
,,20.0,15.0,21.0,13.0,167.0,6.0,100.0,50.0,27.0,63.0,14.0,0.0,0.0,2.0,42.0,0.0,0.0,0.0,96.0,38.0,98.0,266.0,0.0,26.0,28.0,44.0,0.0,2115.0,256.0,974.0,304.0,584.0,888.0,0.0,0.0,0.0,428.0,605.0,239.0,366.0,0.0,0.0,0.0,0.0,0.0,46.0,37.0,49.0,17.0,0.0,24.0,14.0,0.0,441.0,413.0,12.76,163.0,153.0,168.0,102.0,13,10565135057d22b1dfa121ee92b3d69c5c6c6003,2015-01-17 09:49:04-08:00,0.19859501929216397
,,20.0,15.0,21.0,13.0,168.0,6.0,100.0,50.0,27.0,63.0,14.0,0.0,0.0,2.0,42.0,0.0,0.0,0.0,96.0,39.0,98.0,266.0,0.0,26.0,28.0,44.0,0.0,2124.0,257.0,978.0,305.0,586.0,892.0,0.0,0.0,0.0,430.0,608.0,240.0,368.0,0.0,0.0,0.0,0.0,0.0,46.0,37.0,49.0,17.0,0.0,24.0,14.0,0.0,442.0,413.0,12.76,164.0,154.0,169.0,102.0,13,e226662977bb7751c2c821e524d505aa1022842a,2015-03-03 08:23:20-08:00,0.19859501929216397
,,20.0,15.0,21.0,13.0,168.0,6.0,100.0,50.0,27.0,63.0,14.0,0.0,0.0,2.0,42.0,0.0,0.0,0.0,96.0,39.0,98.0,266.0,0.0,26.0,28.0,44.0,0.0,2124.0,258.0,977.0,305.0,585.0,892.0,0.0,0.0,0.0,429.0,607.0,240.0,367.0,0.0,0.0,0.0,0.0,0.0,46.0,37.0,49.0,17.0,0.0,24.0,14.0,0.0,443.0,414.0,12.76,164.0,154.0,169.0,102.0,13,c58956e4ade5fef41c6c5875a283a06956fd97da,2015-03-09 12:51:56+00:00,0.19859501929216397
,,21.0,16.0,22.0,14.0,181.0,6.0,108.0,54.0,32.0,68.0,14.0,0.0,0.0,2.0,49.0,0.0,0.0,0.0,120.0,50.0,122.0,302.0,0.0,30.0,38.0,54.0,0.0,2565.0,305.0,1205.0,368.0,721.0,1058.0,0.0,0.0,0.0,531.0,749.0,288.0,461.0,0.0,0.0,0.0,0.0,0.0,51.0,42.0,54.0,18.0,0.0,26.0,16.0,0.0,526.0,486.0,13.49,204.0,191.0,210.0,126.0,14,1e9d5122894ad0ed100fc6e8f72a5f21c790cd86,2015-03-12 07:34:11-07:00,0.18618283058640372
,,21.0,16.0,22.0,14.0,181.0,6.0,108.0,54.0,32.0,68.0,14.0,0.0,0.0,2.0,49.0,0.0,0.0,0.0,120.0,50.0,122.0,302.0,0.0,30.0,38.0,54.0,0.0,2565.0,305.0,1205.0,368.0,721.0,1058.0,0.0,0.0,0.0,531.0,749.0,288.0,461.0,0.0,0.0,0.0,0.0,0.0,51.0,42.0,54.0,18.0,0.0,26.0,16.0,0.0,526.0,486.0,13.49,204.0,191.0,210.0,126.0,14,7ef38582f262352b23aea7c33efac51cc044d6fb,2015-03-17 15:40:51-07:00,0.18618283058640372
