framework,path,id,creationDate,ownerUserId,postTypeId,acceptedAnswerId
Azure-Samples,active-directory-b2c-android-native-appauth,45798832,2017-08-21T13:49:58.503,8489726,1,
Azure-Samples,active-directory-b2c-android-native-appauth,51701668,2018-08-06T06:26:17.357,5443885,1,
Azure-Samples,active-directory-b2c-android-native-appauth,53926671,2018-12-26T01:22:29.007,10440582,1,53926874
Azure-Samples,active-directory-b2c-android-native-appauth,62921589,2020-07-15T18:33:59.587,6331229,1,
Azure-Samples,active-directory-b2c-android-native-appauth,64446849,2020-10-20T14:04:15.083,473377,1,
Azure-Samples,active-directory-b2c-android-native-appauth,65498224,2020-12-29T20:17:37.480,2062634,1,
Azure-Samples,active-directory-b2c-android-native-msal,46616455,2017-10-07T03:42:00.000,8722625,1,
Azure-Samples,active-directory-b2c-android-native-msal,47038195,2017-10-31T14:47:10.667,8656548,1,
Azure-Samples,active-directory-b2c-android-native-msal,48658266,2018-02-07T07:34:42.567,4977669,1,
Azure-Samples,active-directory-b2c-android-native-msal,54244539,2019-01-17T21:26:59.183,10470597,1,
Azure-Samples,active-directory-b2c-android-native-msal,57134935,2019-07-21T16:17:56.367,1293601,1,
Azure-Samples,active-directory-b2c-android-native-msal,62921589,2020-07-15T18:33:59.587,6331229,1,
Azure-Samples,azure-cosmos-db-graph-java-getting-started,50497349,2018-05-23T20:57:34.110,9837037,1,
Azure-Samples,azure-cosmos-db-graph-java-getting-started,52238270,2018-09-08T18:33:44.067,2756943,1,
Azure-Samples,azure-cosmos-db-graph-java-getting-started,52307359,2018-09-13T05:47:02.500,2756943,1,
Azure-Samples,acr-java-manage-azure-container-registry,65032129,2020-11-27T04:33:33.310,14717242,1,
Azure-Samples,SpeechToText-REST,55256316,2019-03-20T08:22:22.070,11022020,1,
Azure-Samples,key-vault-java-certificate-authentication,46933459,2017-10-25T13:14:51.350,1383662,1,46944856
Azure-Samples,key-vault-java-certificate-authentication,67202952,2021-04-21T20:21:07.877,2017299,1,
Azure-Samples,aad-java-manage-users-groups-and-roles,46525947,2017-10-02T12:57:21.800,6930724,1,46539397
Azure-Samples,aad-java-manage-users-groups-and-roles,47873286,2017-12-18T17:12:38.467,3499779,1,
Azure-Samples,azure-cosmos-db-cassandra-java-getting-started,56626690,2019-06-17T07:32:45.710,143005,1,
Azure-Samples,storage-blobs-java-quickstart,52585465,2018-10-01T06:14:49.577,,1,
Azure-Samples,aks-java-manage-kubernetes-cluster,58147435,2019-09-28T14:48:02.667,172412,1,
Azure-Samples,cognitive-services-android-customvision-sample,52314861,2018-09-13T13:33:30.567,2252679,1,
Azure-Samples,cognitive-services-android-customvision-sample,54919656,2019-02-28T06:28:01.087,1021819,1,
Azure-Samples,monitor-java-query-metrics-activitylogs,55868275,2019-04-26T13:05:01.990,1094597,1,55898290
Azure-Samples,azure-iot-samples-java,52839637,2018-10-16T16:03:21.063,5741290,1,52852259
Azure-Samples,azure-iot-samples-java,67399567,2021-05-05T10:30:30.663,6051197,1,
Azure-Samples,cognitive-services-qnamaker-java,62129171,2020-06-01T09:22:20.907,13500432,1,
Azure-Samples,cognitive-services-qnamaker-java,62251861,2020-06-07T21:24:18.217,13500432,1,
Azure-Samples,cognitive-services-face-android-detect,54905247,2019-02-27T12:13:47.973,9364229,1,56649074
Azure-Samples,Hybrid-resources-java-manage-resource-group,60989651,2020-04-02T10:40:24.223,2429136,1,
Azure-Samples,iot-edge-sample-java,54202708,2019-01-15T16:12:52.360,1688639,1,
Azure-Samples,media-services-v3-java,60328500,2020-02-20T21:05:44.200,65192,1,60329564
Azure-Samples,media-services-v3-java,63151071,2020-07-29T09:59:54.837,13899584,1,
Azure-Samples,ms-identity-java-webapp,60927063,2020-03-30T08:56:01.140,5913185,1,
Azure-Samples,ms-identity-java-webapp,61674188,2020-05-08T07:31:47.547,5155835,1,61758830
Azure-Samples,ms-identity-java-webapp,61754647,2020-05-12T14:41:41.893,5155835,1,
Azure-Samples,ms-identity-java-webapp,63320876,2020-08-08T22:44:08.940,5878609,1,
Azure-Samples,ms-identity-java-webapp,63557811,2020-08-24T09:00:21.977,3100656,1,
Azure-Samples,ms-identity-java-webapp,64031169,2020-09-23T15:20:56.163,13739724,1,
Azure-Samples,ms-identity-android-java,61942108,2020-05-21T19:12:24.173,13591140,1,
Azure-Samples,ms-identity-android-java,64830367,2020-11-14T02:29:11.927,1091302,1,64928471
Azure-Samples,ms-identity-android-java,64877203,2020-11-17T14:28:37.650,1091302,1,
Azure-Samples,ms-identity-android-java,65008983,2020-11-25T16:37:47.327,1091302,1,
Azure-Samples,ms-identity-android-java,65188535,2020-12-07T19:58:47.920,1091302,1,
Azure-Samples,ms-identity-android-java,66351743,2021-02-24T13:18:38.953,1091302,1,
Azure-Samples,ms-identity-android-java,66412121,2021-02-28T17:47:22.713,1091302,1,
Azure-Samples,ms-identity-android-java,67357179,2021-05-02T13:53:58.057,1084935,1,67394763
Azure-Samples,Azure-Spring-Cloud-Samples,62716956,2020-07-03T13:56:54.370,718849,1,62717238
Azure-Samples,ms-identity-java-webapi,66971628,2021-04-06T15:25:37.810,916428,1,
Azure-Samples,ms-identity-java-desktop,60314581,2020-02-20T07:10:12.180,12917764,1,
Azure-Samples,ms-identity-java-desktop,61182165,2020-04-13T05:45:06.133,13298767,1,
Azure-Samples,ms-identity-java-desktop,61759880,2020-05-12T19:01:06.970,13528277,1,
Azure-Samples,ms-identity-java-desktop,62523952,2020-06-22T21:42:35.893,1381241,1,
Azure-Samples,ms-identity-java-desktop,64655559,2020-11-03T01:26:34.297,2068337,1,
Azure-Samples,ms-identity-java-desktop,64925518,2020-11-20T07:38:27.710,14662911,1,
Azure-Samples,java-functions-eventhub-cosmosdb,60833940,2020-03-24T15:18:23.627,313964,1,60835507
Azure-Samples,azure-cosmos-java-sql-api-samples,66476603,2021-03-04T14:01:48.347,12631,1,66506612
Azure-Samples,ms-identity-b2c-java-servlet-webapp-authentication,65108766,2020-12-02T13:11:15.463,1492248,1,
