framework,path,imports,javaFiles,imports/java_files
android,googlesamples/android-JumpingJack,20,5,4.0
android,googlesamples/android-DataLayer,22,5,4.4
android,googlesamples/android-AlwaysOn,13,1,13.0
android,googlesamples/android-MediaEffects,31,11,2.8181818181818183
android,googlesamples/android-DirectBoot,37,9,4.111111111111111
android,googlesamples/leanback-showcase,298,154,1.9350649350649352
android,googlesamples/android-MessagingService,32,7,4.571428571428571
android,googlesamples/androidtv-sample-inputs,106,59,1.7966101694915255
android,googlesamples/leanback-homescreen-channels,76,22,3.4545454545454546
android,googlesamples/android-play-publisher-api,0,12,0.0
android,googlesamples/androidtv-Leanback,65,38,1.7105263157894737
android,googlesamples/android-BluetoothChat,41,12,3.4166666666666665
android,googlesamples/android-MediaRecorder,22,3,7.333333333333333
android,googlesamples/android-fit,21,31,0.6774193548387096
android,googlesamples/android-DisplayingBitmaps,64,21,3.0476190476190474
android,googlesamples/android-testing-templates,22,13,1.6923076923076923
android,googlesamples/android-ActivityInstrumentation,21,8,2.625
android,googlesamples/chromeos-android-draganddrop-demo,17,3,5.666666666666667
android,googlesamples/android-BasicRenderScript,11,2,5.5
android,googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,49,7,7.0
android,googlesamples/android-CustomChoiceList,20,9,2.2222222222222223
android,googlesamples/android-WatchViewStub,11,1,11.0
android,googlesamples/android-Timer,22,6,3.6666666666666665
android,googlesamples/android-TextSwitcher,20,7,2.857142857142857
android,googlesamples/android-TextLinkify,22,8,2.75
android,googlesamples/android-SynchronizedNotifications,28,13,2.1538461538461537
android,googlesamples/android-SwipeRefreshMultipleViews,40,14,2.857142857142857
android,googlesamples/android-SwipeRefreshListFragment,41,14,2.9285714285714284
android,googlesamples/android-SwipeRefreshLayoutBasic,38,13,2.923076923076923
android,googlesamples/android-StorageProvider,34,10,3.4
android,googlesamples/android-StorageClient,34,10,3.4
android,googlesamples/android-SlidingTabsColors,34,13,2.6153846153846154
android,googlesamples/android-SlidingTabsBasic,32,12,2.6666666666666665
android,googlesamples/android-SkeletonWearableApp,30,2,15.0
android,googlesamples/android-ShareActionProvider,24,4,6.0
android,googlesamples/android-ScreenCapture,32,10,3.2
android,googlesamples/android-ScopedDirectoryAccess,26,4,6.5
android,googlesamples/android-RuntimePermissions,34,6,5.666666666666667
android,googlesamples/android-RevealEffectBasic,25,10,2.5
android,googlesamples/android-RepeatingAlarm,24,9,2.6666666666666665
android,googlesamples/android-RenderScriptIntrinsic,32,3,10.666666666666666
android,googlesamples/android-RecyclerView,24,10,2.4
android,googlesamples/android-RecipeAssistant,37,14,2.642857142857143
android,googlesamples/android-Quiz,20,8,2.5
android,googlesamples/android-PermissionRequest,42,13,3.230769230769231
android,googlesamples/android-PdfRendererBasic,20,3,6.666666666666667
android,googlesamples/android-NotificationChannels,15,2,7.5
android,googlesamples/android-NfcProvisioning,39,13,3.0
android,googlesamples/android-NetworkConnect,15,4,3.75
android,googlesamples/android-NavigationDrawer,35,10,3.5
android,googlesamples/android-MultiWindowPlayground,23,14,1.6428571428571428
android,googlesamples/android-MidiSynth,32,25,1.28
android,googlesamples/android-MidiScope,32,28,1.1428571428571428
android,googlesamples/android-MediaRouter,86,17,5.0588235294117645
android,googlesamples/android-MediaBrowserService,48,9,5.333333333333333
android,googlesamples/android-LNotifications,32,4,8.0
android,googlesamples/android-JobScheduler,34,9,3.7777777777777777
android,googlesamples/android-Interpolator,31,10,3.1
android,googlesamples/android-ImmersiveMode,23,11,2.090909090909091
android,googlesamples/android-HorizontalPaging,13,2,6.5
android,googlesamples/android-HdrViewfinder,47,5,9.4
android,googlesamples/android-GridViewPager,23,3,7.666666666666667
android,googlesamples/android-Geofencing,22,8,2.75
android,googlesamples/android-FloatingActionButtonBasic,27,11,2.4545454545454546
android,googlesamples/android-Flashlight,17,2,8.5
android,googlesamples/android-FingerprintDialog,33,4,8.25
android,googlesamples/android-FindMyPhone,17,4,4.25
android,googlesamples/android-ElizaChat,20,3,6.666666666666667
android,googlesamples/android-ElevationDrag,28,11,2.5454545454545454
android,googlesamples/android-ElevationBasic,22,10,2.2
android,googlesamples/android-DrawableTinting,29,9,3.2222222222222223
android,googlesamples/android-DragAndDropAcrossApps,37,20,1.85
android,googlesamples/android-DownloadableFonts,23,3,7.666666666666667
android,googlesamples/android-DoneBar,16,4,4.0
android,googlesamples/android-DocumentCentricRelinquishIdentity,7,2,3.5
android,googlesamples/android-DocumentCentricApps,16,4,4.0
android,googlesamples/android-DirectShare,19,6,3.1666666666666665
android,googlesamples/android-DirectorySelection,19,4,4.75
android,googlesamples/android-DeviceOwner,24,4,6.0
android,googlesamples/android-DelayedConfirmation,9,3,3.0
android,googlesamples/android-CustomTransition,35,10,3.5
android,googlesamples/android-CustomNotifications,10,1,10.0
android,googlesamples/android-ContentProviderPaging,32,6,5.333333333333333
android,googlesamples/android-ConfirmCredential,13,1,13.0
android,googlesamples/android-CommitContentSampleIME,22,1,22.0
android,googlesamples/android-CommitContentSampleApp,16,1,16.0
android,googlesamples/android-ClippingBasic,25,10,2.5
android,googlesamples/android-CardView,10,3,3.3333333333333335
android,googlesamples/android-CardReader,24,11,2.1818181818181817
android,googlesamples/android-CardEmulation,25,12,2.0833333333333335
android,googlesamples/android-BorderlessButtons,23,7,3.2857142857142856
android,googlesamples/android-BluetoothAdvertisements,38,6,6.333333333333333
android,googlesamples/android-BeamLargeFiles,29,11,2.6363636363636362
android,googlesamples/android-BatchStepSensor,48,20,2.4
android,googlesamples/android-BasicTransition,35,11,3.1818181818181817
android,googlesamples/android-BasicSyncAdapter,56,17,3.2941176470588234
android,googlesamples/android-BasicNotifications,10,2,5.0
android,googlesamples/android-BasicNetworking,22,9,2.4444444444444446
android,googlesamples/android-BasicMultitouch,22,9,2.4444444444444446
android,googlesamples/android-BasicMediaRouter,27,9,3.0
android,googlesamples/android-BasicMediaDecoder,21,3,7.0
android,googlesamples/android-BasicManagedProfile,25,5,5.0
android,googlesamples/android-BasicImmersiveMode,22,10,2.2
android,googlesamples/android-BasicGestureDetect,26,11,2.3636363636363638
android,googlesamples/android-BasicContactables,26,9,2.888888888888889
android,googlesamples/android-BasicAndroidKeyStore,27,11,2.4545454545454546
android,googlesamples/android-AutoBackupForApps,22,4,5.5
android,googlesamples/android-AsymmetricFingerprintDialog,31,9,3.4444444444444446
android,googlesamples/android-AppShortcuts,27,4,6.75
android,googlesamples/android-AppRestrictionSchema,31,9,3.4444444444444446
android,googlesamples/android-AppRestrictions,19,4,4.75
android,googlesamples/android-AppRestrictionEnforcer,35,9,3.888888888888889
android,googlesamples/android-AdvancedImmersiveMode,24,10,2.4
android,googlesamples/android-ActiveNotifications,29,10,2.9
android,googlesamples/android-ActionBarCompat-Styled,6,2,3.0
android,googlesamples/android-ActionBarCompat-ListPopupMenu,11,4,2.75
android,googlesamples/android-ActionBarCompat-Basic,6,2,3.0
android,googlesamples/android-key-attestation,0,13,0.0
android,googlesamples/android-play-places,57,45,1.2666666666666666
android,googlesamples/android-AccelerometerPlay,22,1,22.0
android,googlesamples/android-play-awareness,28,3,9.333333333333334
android,googlesamples/leanback-assistant,58,17,3.411764705882353
android,googlesamples/android-play-safetynet,24,12,2.0
android,googlesamples/account-transfer-api,27,7,3.857142857142857
android,googlesamples/android-SimpleMediaPlayer,12,4,3.0
android,googlesamples/android-fido,39,5,7.8
android,googlesamples/android-WearStandaloneGoogleSignIn,14,2,7.0
android,googlesamples/android-WearOAuth,0,0,0
android,googlesamples/android-unsplash,52,16,3.25
android,googlesamples/android-codelab-watchface,20,5,4.0
android,googlesamples/android-OurStreets,61,26,2.3461538461538463
android,googlesamples/android-WearCompanionLibrary,46,20,2.3
android,googlesamples/android-gcmnetworkmanager,11,2,5.5
android,googlesamples/identity-toolkit-android,14,3,4.666666666666667
android,googlesamples/android-WclDemoSample,36,14,2.5714285714285716
android,googlesamples/attendee-checkin,131,45,2.911111111111111
android,googlesamples/android-play-games-in-motion,41,31,1.3225806451612903
android,googlesamples/androidtv-daydream,26,13,2.0
android,googlesamples/androidtv-VisualGameController,25,5,5.0
android,googlesamples/androidtv-GameController,17,12,1.4166666666666667
android,googlesamples/android-google-accounts,17,4,4.25
