framework,path,stars,popularity
googlearchive,googlearchive/android-Camera2Video,1180,unpopular
googlearchive,googlearchive/android-RuntimePermissions,1278,unpopular
googlearchive,googlearchive/android-FingerprintDialog,1377,unpopular
googlearchive,googlearchive/android-PictureInPicture,1408,unpopular
googlearchive,googlearchive/android-ConstraintLayoutExamples,2598,unpopular
googlearchive,googlearchive/android-Camera2Basic,2756,unpopular
spring-cloud-samples,spring-cloud-samples/stub-runner-boot,3,popular
spring-cloud-samples,spring-cloud-samples/spring-cloud-config-vault,9,popular
spring-cloud-samples,spring-cloud-samples/github-eureka,10,popular
spring-cloud-samples,spring-cloud-samples/processor,15,popular
spring-cloud-samples,spring-cloud-samples/svn-config-server,17,popular
spring-cloud-samples,spring-cloud-samples/spring-cloud-circuitbreaker-demo,34,popular
spring-cloud-samples,spring-cloud-samples/turbine,36,popular
spring-cloud-samples,spring-cloud-samples/locks,36,popular
spring-cloud-samples,spring-cloud-samples/cloudfoundry-service-broker,42,popular
spring-cloud-samples,spring-cloud-samples/zuul-server,60,popular
spring-cloud-samples,spring-cloud-samples/hystrix-dashboard,97,unpopular
spring-cloud-samples,spring-cloud-samples/aws-refapp,126,unpopular
spring-cloud-samples,spring-cloud-samples/feign-eureka,181,unpopular
spring-cloud-samples,spring-cloud-samples/sample-zuul-filters,208,unpopular
spring-cloud-samples,spring-cloud-samples/sso,229,unpopular
spring-cloud-samples,spring-cloud-samples/authserver,305,unpopular
spring-cloud-samples,spring-cloud-samples/spring-cloud-contract-samples,312,unpopular
spring-cloud-samples,spring-cloud-samples/brewery,338,unpopular
spring-cloud-samples,spring-cloud-samples/configserver,343,unpopular
spring-cloud-samples,spring-cloud-samples/eureka,438,unpopular
SAP-samples,SAP-samples/cloud-commerce-sample-setup,39,unpopular
