path,stars,language,framework
iamMehedi/Secured-Preference-Store,Android
slymax/webview,Android
WellingtonCosta/convalida,Android
chariotsolutions/phonegap-nfc,Android
xiangtailiang/FakeGPS,Android
Cleveroad/FireworkyPullToRefresh,Android
razerdp/FriendCircle,Android
aliumujib/Nibo,Android
traex/RippleEffect,Android
tianzhijiexian/DBinding,Android
gzsll/WebViewJavascriptBridge,Android
amilcar-sr/JustifiedTextView,Android
dingjibang/GDX-RPG,Android
ihsanbal/Wiv,Android
florent37/ExpectAnim,Android
motianhuo/VCameraDemo,Android
prcaen/external-resources,Android
lichao315/Calendar,Android
Catrobat/Catroid,Android
ksvc/KSYLive_Android,Android
makovkastar/FloatingActionButton,Android
ValuesFeng/AndroidPicturePicker,Android
MichaelEvans/Aftermath,Android
vlonjatg/progress-activity,Android
ragdroid/Dahaka,Android
maxiee/HeartBeat,Android
openid/AppAuth-Android,Android
benniaobuguai/android-dynamic-action,Android
k0shk0sh/PermissionHelper,Android
grantland/android-autofittextview,Android
linglongxin24/WelcomeVideoPager,Android
ManuelPeinado/ImageLayout,Android
colintheshots/AnDevCon-RxPatterns,Android
HomHomLin/SlidingLayout,Android
ryanlijianchang/Recyclerview-Gallery,Android
tekinarslan/AndroidMaterialDesignToolbar,Android
nanchen2251/CoordinatorAppBarDemo,Android
Devlight/TintLayout,Android
glt/ScreenRecorder,Android
lessthanoptimal/BoofCV,Android
wongzy/BetterWay,Android
kiwi-bop/flutter_crashlytics,Android
skydoves/PowerMenu,Android
android-hacker/VirtualXposed,Android
LaiFeng-Android/SopCastComponent,Android
aporter/coursera-android,Android
shardul/Android,Android
WrBug/DeveloperHelper,Android
limpoxe/Android-ServiceManager,Android
wrapp-archive/floatlabelededittext,Android
emotionsense/SensorManager,Android
zaihuishou/ExpandableRecyclerview,Android
jiangzehui/MD,Android
linsea/UniversalVideoView,Android
shzlw/poli,Spring
wyh-spring-ecosystem-student/spring-boot-student,Spring
Activiti/Activiti,Spring
spring-projects/spring-security-oauth,Spring
cheese10yun/spring-guide,Spring
dearbinge/dubbo-spring-boot-mybatis-redis,Spring
abel533/Mapper,Spring
spring-guides/gs-uploading-files,Spring
liaokailin/springcloud,Spring
ordina-jworks/microservices-dashboard,Spring
tonyboxes/netty-chat,Spring
DSpace/DSpace,Spring
JThink/SkyEye,Spring
OysterQAQ/Pixiv-Illustration-Collection,Spring
cwenao/springboot_cwenao,Spring
binarywang/weixin-java-miniapp-demo,Spring
mattia-battiston/clean-architecture-example,Spring
ngbdf/redis-manager,Spring
jhipster/jhipster,Spring
nonocast/todolist,Spring
pkainulainen/gradle-examples,Spring
spring-projects/spring-xd,Spring
nosqlcoco/springboot-weapp-demo,Spring
aws-samples/amazon-ecs-java-microservices,Spring
adobe/S3Mock,Spring
tim232385/WebVideoBot,Spring
jhipster/jhipster-registry,Spring
ysrc/Liudao,Spring
apache/dubbo-admin,Spring
souyunku/SpringBootExamples,Spring
opentracing-contrib/java-spring-cloud,Spring
shmilyah/spring-cloud-components,Spring
sofastack/sofa-registry,Spring
feuyeux/jax-rs2-guide,Spring
eclipse/hono,Spring
alibaba/nacos,Spring
yu199195/myth,Spring
cloudfoundry/java-buildpack-auto-reconfiguration,Spring
naturalprogrammer/spring-lemon,Spring
xuwujing/springBoot-study,Spring
spring-cloud/spring-cloud-sleuth,Spring
Coding/WebIDE-Backend,Spring
zhengyunfei/springboot-hadmin,Spring
sofastack/sofa-tracer,Spring
anilallewar/microservices-basics-spring-boot,Spring
sanshengshui/netty-learning-example,Spring
1ssqq1lxr/iot_push,Spring
didi/tinyid,Spring
Zoctan/spring-boot-vue-admin,Spring
bitkylin/ClusterDeviceControlPlatform,Spring
roncoo/spring-boot-demo,Spring
qiurunze123/miaosha,Spring
system-sekkei/isolating-the-domain,Spring
joshlong/boot-examples,Spring
rubenlagus/TelegramBots,Spring
whyalwaysmea/Spring-Security,Spring
dangdangdotcom/config-toolkit,Spring
frostwire/frostwire,Android
