framework,project,java,properties,jar,build.gradle,pom.xml,manifest.xml,xml,bat,md,adoc,README,yaml,txt,sh,travis.yml,yml,cmd,kt,json,numberOfFiles,others
android,googlesamples/android-NotificationChannels,2,2,2,4,0,0,28,2,4,0,2,2,0,0,0,0,0,2,0,70,22
android,googlesamples/android-NfcProvisioning,13,1,1,2,0,0,15,1,2,0,1,1,1,0,0,0,0,0,0,47,10
android,googlesamples/android-NetworkConnect,4,1,1,2,0,0,14,1,3,0,1,2,0,0,0,0,0,0,0,38,10
android,googlesamples/android-NavigationDrawer,10,2,2,4,0,0,38,2,5,0,2,3,0,0,0,0,0,5,0,120,49
android,googlesamples/android-MultiWindowPlayground,14,2,2,4,0,0,18,2,3,0,2,1,0,0,0,0,0,14,0,80,20
android,googlesamples/android-MidiSynth,25,1,1,2,0,0,15,1,2,0,1,1,0,0,0,0,0,0,0,59,11
android,googlesamples/android-MidiScope,28,1,1,2,0,0,15,1,2,0,1,1,0,0,0,0,0,0,0,68,17
android,googlesamples/android-MediaRouter,17,1,1,2,0,0,19,1,3,0,1,2,0,0,0,0,0,0,0,78,32
android,googlesamples/android-MediaBrowserService,9,1,1,2,0,0,6,1,2,0,1,2,0,0,0,0,0,0,0,64,40
android,googlesamples/android-LNotifications,4,1,1,2,0,0,18,1,3,0,1,2,0,0,0,0,0,0,0,76,44
android,googlesamples/android-JobScheduler,9,2,2,4,0,0,31,2,5,0,3,4,1,0,0,0,0,5,0,80,15
android,googlesamples/android-Interpolator,10,1,1,2,0,0,17,1,3,0,1,2,0,0,0,0,0,0,0,48,11
android,googlesamples/android-ImmersiveMode,11,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,44,8
android,googlesamples/android-HorizontalPaging,2,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,38,11
android,googlesamples/android-HdrViewfinder,5,1,1,2,0,0,13,1,3,0,1,2,0,0,0,0,0,0,0,43,15
android,googlesamples/android-GridViewPager,3,1,1,2,0,0,7,1,3,0,1,1,0,0,0,0,0,0,0,45,26
android,googlesamples/android-Geofencing,8,1,1,3,0,0,12,1,3,0,1,1,0,0,0,0,0,0,0,47,17
android,googlesamples/android-FloatingActionButtonBasic,11,1,1,2,0,0,20,1,3,0,1,1,0,0,0,0,0,0,0,56,16
android,googlesamples/android-Flashlight,2,1,1,2,0,0,5,1,3,0,1,1,0,0,0,0,0,0,0,27,11
android,googlesamples/android-FingerprintDialog,4,3,2,4,0,0,33,2,3,0,2,3,0,0,0,0,0,7,0,99,38
android,googlesamples/android-FindMyPhone,4,1,1,3,0,0,13,1,3,0,1,1,0,0,0,0,0,0,0,42,15
android,googlesamples/android-ElizaChat,3,1,1,2,0,0,13,1,3,0,1,1,0,0,0,0,0,0,0,42,17
android,googlesamples/android-ElevationDrag,11,1,1,2,0,0,17,1,3,0,1,2,0,0,0,0,0,0,0,48,10
android,googlesamples/android-ElevationBasic,10,1,1,2,0,0,18,1,3,0,1,2,0,0,0,0,0,0,0,49,11
android,googlesamples/android-DrawableTinting,9,1,1,2,0,0,18,1,3,0,1,2,0,0,0,0,0,0,0,49,12
android,googlesamples/android-DragAndDropAcrossApps,20,1,1,3,0,0,33,1,2,0,1,1,0,0,0,0,0,0,0,85,23
android,googlesamples/android-DownloadableFonts,3,2,2,4,0,0,22,2,4,0,2,2,0,0,0,0,0,3,0,80,36
android,googlesamples/android-DoneBar,4,1,1,2,0,0,24,1,3,0,1,2,0,0,0,0,0,0,0,56,18
android,googlesamples/android-DocumentCentricRelinquishIdentity,2,1,1,2,0,0,13,1,2,0,1,1,0,0,0,0,0,0,0,35,12
android,googlesamples/android-DocumentCentricApps,4,1,1,2,0,0,13,1,3,0,1,1,0,0,0,0,0,0,0,37,11
android,googlesamples/android-DirectShare,6,1,1,2,0,0,17,1,2,0,1,1,0,0,0,0,0,0,0,49,18
android,googlesamples/android-DirectorySelection,4,2,1,2,0,0,16,1,2,0,1,1,0,0,0,0,0,0,0,49,20
android,googlesamples/android-DeviceOwner,4,1,1,2,0,0,15,1,2,0,1,1,0,0,0,0,0,0,0,37,10
android,googlesamples/android-DelayedConfirmation,3,1,1,3,0,0,16,1,3,0,1,1,0,0,0,0,0,0,0,45,16
android,googlesamples/android-CustomTransition,10,1,1,2,0,0,17,1,3,0,1,2,0,0,0,0,0,0,0,47,10
android,googlesamples/android-CustomNotifications,1,1,1,2,0,0,17,1,3,0,1,2,0,0,0,0,0,0,0,52,24
android,googlesamples/android-ContentProviderPaging,6,2,2,6,0,0,20,2,4,0,2,2,0,0,0,0,0,6,0,114,64
android,googlesamples/android-ConfirmCredential,1,1,1,2,0,0,13,1,2,0,1,1,0,0,0,0,0,0,0,36,14
android,googlesamples/android-CommitContentSampleIME,1,2,1,2,0,0,6,1,2,0,1,1,0,0,0,0,0,0,0,36,20
android,googlesamples/android-CommitContentSampleApp,1,2,1,2,0,0,5,1,2,0,1,1,0,0,0,0,0,0,0,32,17
android,googlesamples/android-ClippingBasic,10,1,1,2,0,0,17,1,3,0,1,2,0,0,0,0,0,0,0,48,11
android,googlesamples/android-CardView,3,2,2,4,0,0,22,2,5,0,2,2,0,0,0,0,0,3,0,60,15
android,googlesamples/android-CardReader,11,1,1,2,0,0,17,1,3,0,1,2,0,0,0,0,0,0,0,47,9
