,,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,readability,questions
2017,11,1.4099502487562192,1.4099502487562192,1.4569520816967794,1.0686567164179104,39.745644584097064,5.510159727677401,29.075434232347035,4.910788164440953,1.0314218381775333,7.932552151523086,1.600602251898403,0.13825608798114689,26.263157894736842,1.2585493584708038,1.1831107619795758,,,,2.203726979139391,1.2087326525268394,3.462276337610195,16.188120799511214,1.2906432748538013,0.7224404294317885,0.07541241162608012,1.3737802216985258,,115.27161560617962,17.10908178406215,78.04831544034218,25.69844636466788,59.97868988391377,20.41187920048878,,,,50.71803700794273,60.441651392162,24.518333769747745,35.923317622414245,,,,,,2.3366675394955045,2.1928078903726975,2.490241773588199,1.2472898664571874,,1.3013092432573967,1.1096796718163568,,17.581277821419217,14.646988740507984,0.3421087108318059,7.965213406650955,7.821353757528149,8.11878764074365,5.122047656454569,24.894736842105264,0.04463759708898395,0.0
2017,12,1.4701492537313432,1.4701492537313432,1.5363805970149254,1.0690298507462686,38.27052238805971,5.816231343283582,28.07742537313432,4.104477611940299,1.037313432835821,8.421641791044776,1.6277985074626866,0.16417910447761194,29.5,1.1361940298507462,1.0111940298507462,,,,2.316231343283582,1.1968283582089552,3.4524253731343286,16.31436567164179,1.3125,0.628731343283582,0.08955223880597014,1.421641791044776,,112.26212686567165,17.065298507462686,76.57369402985076,25.12593283582089,58.69309701492537,18.93563432835821,,,,48.3134328358209,57.98973880597015,23.611007462686565,34.37873134328359,,,,,,2.5345149253731343,2.4095149253731343,2.748134328358209,1.2686567164179103,,1.3348880597014925,1.1455223880597014,,16.717350746268657,13.548507462686567,0.3438339552238806,8.032649253731343,7.907649253731343,8.246268656716417,5.034514925373134,28.25,0.054219188989106215,0.0
2018,1,0.8805970149253731,0.8805970149253731,0.8955223880597015,0.7761194029850746,3.582089552238806,0.01492537313432836,3.0597014925373136,0.41791044776119396,1.1492537313432836,3.6865671641791047,0.7611940298507462,0.6567164179104478,73.0,0.04477611940298507,0.04477611940298507,,,,4.014925373134329,1.537313432835821,4.059701492537314,19.507462686567163,0.0,0.01492537313432836,0.3582089552238806,3.6865671641791047,,40.29850746268657,6.7611940298507465,23.044776119402986,10.253731343283581,7.522388059701491,10.492537313432836,,,,7.253731343283582,13.208955223880595,7.1940298507462686,6.0149253731343295,,,,,,1.388059701492537,1.388059701492537,1.492537313432836,1.0746268656716418,,2.08955223880597,0.582089552238806,,34.11940298507463,26.19402985074627,0.8028358208955224,4.880597014925373,4.880597014925373,4.9850746268656705,4.388059701492537,74.0,0.18778773725391784,0.0
2018,7,0.8805970149253731,0.8805970149253731,0.8955223880597015,0.7761194029850746,3.582089552238806,0.01492537313432836,3.0597014925373136,0.41791044776119396,1.1492537313432836,3.6865671641791047,0.7611940298507462,0.6567164179104478,73.0,0.04477611940298507,0.04477611940298507,,,,4.014925373134329,1.537313432835821,4.059701492537314,19.507462686567163,0.0,0.01492537313432836,0.3582089552238806,3.6865671641791047,,40.29850746268657,6.7611940298507465,23.044776119402986,10.253731343283581,7.522388059701491,10.492537313432836,,,,7.253731343283582,13.208955223880595,7.1940298507462686,6.0149253731343295,,,,,,1.388059701492537,1.388059701492537,1.492537313432836,1.0746268656716418,,2.08955223880597,0.582089552238806,,34.11940298507463,26.19402985074627,0.8028358208955224,4.880597014925373,4.880597014925373,4.9850746268656705,4.388059701492537,74.0,0.18778773725391784,1.0
2018,8,1.5,1.5,1.5,1.0,8.0,0.5,5.25,2.0,1.0,3.25,0.5,0.0,6.0,0.0,2.75,,,,3.0,1.5,3.0,17.5,0.0,0.0,0.0,3.0,,45.5,6.25,24.75,11.75,12.25,14.5,,,,12.25,18.0,9.75,8.25,,,,,,2.25,2.25,2.75,1.25,,2.0,0.75,,32.25,32.25,0.47,4.5,4.5,5.0,3.5,6.0,0.05356433987617493,0.0
2018,9,3.3174603174603168,3.0,3.476190476190476,1.6825396825396826,28.674603174603178,3.0,17.62698412698413,7.2063492063492065,1.0,13.722222222222221,0.5238095238095237,0.0,9.333333333333334,3.634920634920635,0.31746031746031744,,,,0.0,0.0,3.634920634920635,15.634920634920633,0.0,1.746031746031746,0.0,1.8888888888888886,,128.46031746031747,15.952380952380954,81.34126984126986,19.071428571428573,58.80952380952382,31.166666666666668,,,,42.76190476190476,57.587301587301596,18.269841269841265,39.31746031746031,,,,,,8.761904761904761,7.015873015873017,9.873015873015872,4.0,,1.0,1.634920634920635,,26.666666666666668,21.746031746031743,0.4845238095238095,15.396825396825397,13.65079365079365,17.142857142857142,8.793650793650794,6.333333333333333,0.0,0.0
2018,10,2.03125,1.9375000000000002,2.078125,1.28125,20.531250000000004,1.703125,14.062500000000004,4.125,1.0,13.5625,0.75,0.0,7.5,2.265625,0.28125,,,,2.3125,2.4374999999999996,4.578125,16.578125,0.0,2.0625,0.0,2.515625,,136.65625,17.546875,91.78125,22.03125,64.21875,27.703125000000007,,,,47.796874999999986,63.56249999999999,20.65625,42.90625,,,,,,4.796874999999999,4.28125,5.124999999999999,2.265625,,1.25,1.8125,,32.25,29.296874999999996,0.27984374999999995,13.890625,13.375,14.765624999999996,8.140625,5.125,0.040667095407843586,0.0
2018,11,1.894438894438894,1.812659562659562,1.9353285603285602,1.2453379953379953,19.693625818625826,1.33553946053946,13.163239538239539,4.463758463758461,1.1648351648351647,13.18265068265068,1.0499777999777995,0.0,11.538461538461538,2.020965145965145,0.44441669441669424,,,,2.919080919080919,1.9065934065934063,4.940046065046067,16.940046065046058,0.0,1.8542291042291044,0.0,3.085816960816961,,116.95067432567431,13.634518259518261,75.17417304917306,19.75620213120213,51.81014818514818,28.630994005994012,,,,37.26572039072038,50.36331723831723,17.56167443667443,32.80164280164281,,,,,,4.669899544899547,4.2201132201132205,4.956127206127207,2.104020979020979,,1.0824175824175821,1.798895548895549,,33.81451881451882,31.557928182928165,0.4164614552114551,12.814296814296814,12.364510489510486,13.552225552225554,7.995004995004995,9.115384615384615,0.010934683662624319,1.0
2018,12,1.8511904761904763,1.7678571428571428,1.9345238095238095,1.25,20.226190476190478,1.4226190476190474,13.160714285714285,4.94047619047619,1.1428571428571428,13.476190476190474,1.0476190476190477,0.0,12.5,2.261904761904762,0.36904761904761907,,,,2.666666666666667,1.6428571428571428,4.928571428571429,16.92857142857143,0.0,1.7559523809523807,0.0,3.1726190476190474,,119.02380952380952,13.898809523809526,74.75,20.601190476190478,51.44642857142857,30.803571428571427,,,,37.82142857142857,50.714285714285715,17.99404761904762,32.720238095238095,,,,,,4.678571428571429,4.220238095238095,4.970238095238095,2.208333333333333,,1.0714285714285714,1.720238095238095,,30.428571428571423,28.279761904761898,0.4643452380952381,12.577380952380954,12.119047619047619,13.375,7.875,10.0,0.0058026551501825455,1.0
2019,1,2.360936682365254,2.2083987441130297,2.5134746206174774,1.457613814756672,27.423338566195707,2.594845630559916,15.665227629513343,8.335426478283622,1.0,15.15502354788069,0.6949241234955521,0.0,16.142857142857142,3.6643118785975934,0.15253793825222398,,,,0.30507587650444795,0.0,3.9693877551020407,15.969387755102042,0.0,1.194793301936159,0.0,2.774594453165882,,126.50601779173205,15.437336473050761,71.936420722135,21.82796964939822,50.81122448979592,39.13226059654631,,,,39.043956043956044,51.14599686028258,18.342883307169018,32.803113553113555,,,,,,6.342229199372055,5.4828623757195185,6.9067242281527985,3.340528519099948,,1.0,1.5982469911041337,,12.83359497645212,10.489665096807952,0.6665240711669284,12.178309785452644,11.318942961800103,13.245290423861851,7.5404238618524335,13.142857142857142,0.0,1.0
