,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
googlesamples\\android-AppUsageStatistics,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=6.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0013211082576081168, z=-3.211354557225013, Tau=-0.44761904761904764, s=-94.0, var_s=838.6666666666666, slope=-0.00901559454190982, intercept=50.92348927875244)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.2352941176470589)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.03579606503869096)"
googlesamples\\android-custom-lint-rules,"Mann_Kendall_Test(trend='increasing', h=True, p=1.3123980140417046e-06, z=4.837867162054571, Tau=0.5448275862068965, s=237.0, var_s=2379.6666666666665, slope=0.13043478260869565, intercept=5.108695652173913)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0007211324467788494, z=-3.381416124709157, Tau=-0.42528735632183906, s=-185.0, var_s=2961.0, slope=-0.5192307692307693, intercept=52.52884615384615)","Mann_Kendall_Test(trend='decreasing', h=True, p=5.218261249329004e-06, z=-4.555815954855865, Tau=-0.5678160919540229, s=-247.0, var_s=2915.6666666666665, slope=-0.007407407407407406, intercept=1.8074074074074074)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.00026491473598411197, z=-3.647392842418225, Tau=-0.4528735632183908, s=-197.0, var_s=2887.6666666666665, slope=-0.00020806496364197437, intercept=0.044503164155425344)"
googlesamples\\android-play-billing,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.0014305954700140067, z=-3.1884059349389062, Tau=-0.16254713028906578, s=-1940.0, var_s=369835.3333333333, slope=0.0, intercept=27.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.5944695225049674, z=0.5323703413978692, Tau=0.028655215751989947, s=342.0, var_s=410280.6666666667, slope=0.0, intercept=78.08571428571429)","Mann_Kendall_Test(trend='decreasing', h=True, p=2.7743707182725785e-06, z=-4.686853752022872, Tau=-0.24976958525345622, s=-2981.0, var_s=404268.3333333333, slope=-0.00023234200743495192, intercept=1.871101343746803)","Mann_Kendall_Test(trend='decreasing', h=True, p=1.8019104874866798e-08, z=-5.630017777821218, Tau=-0.2877251780477587, s=-3434.0, var_s=371816.0, slope=0.0, intercept=0.012733602155507966)"
googlesamples\\android-vision,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=10.11979483793985, Tau=0.7604237867395762, s=2225.0, var_s=48297.666666666664, slope=0.5681818181818182, intercept=1.4090909090909065)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=11.104110796422795, Tau=0.8619275461380724, s=2522.0, var_s=51544.0, slope=1.2997864906832297, intercept=58.912461180124225)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=8.818977155683003, Tau=0.6821599453178401, s=1996.0, var_s=51174.0, slope=0.007509117663112747, intercept=1.5146535288017158)","Mann_Kendall_Test(trend='decreasing', h=True, p=2.3314683517128287e-14, z=-7.631197345711372, Tau=-0.5806561859193438, s=-1699.0, var_s=49509.666666666664, slope=-6.854535310727481e-05, intercept=0.00604920252836273)"
googlesamples\\android-ads,"Mann_Kendall_Test(trend='no trend', h=False, p=0.5051820191540017, z=0.6663584414998305, Tau=0.06448979591836734, s=79.0, var_s=13701.666666666666, slope=0.0, intercept=26.0)","Mann_Kendall_Test(trend='increasing', h=True, p=2.220446049250313e-16, z=8.236457459101887, Tau=0.8008163265306123, s=981.0, var_s=14157.0, slope=0.8878205128205121, intercept=50.80937304565355)","Mann_Kendall_Test(trend='no trend', h=False, p=0.8271174519258648, z=-0.2184000174720021, Tau=-0.022040816326530613, s=-27.0, var_s=14172.333333333334, slope=0.0, intercept=1.5102880658436213)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0011724086315603177, z=-3.2455089887093314, Tau=-0.31510204081632653, s=-386.0, var_s=14072.0, slope=-7.946601201878592e-06, intercept=0.00023676176573437634)"
googlesamples\\android-SpeedTracker,"Mann_Kendall_Test(trend='decreasing', h=True, p=1.1349555295581126e-08, z=-5.709219331080528, Tau=-0.5870870870870871, s=-391.0, var_s=4666.333333333333, slope=-0.043478260869565216, intercept=12.782608695652174)","Mann_Kendall_Test(trend='increasing', h=True, p=1.774729959436172e-06, z=4.777517061738273, Tau=0.527027027027027, s=351.0, var_s=5367.0, slope=0.3333333333333333, intercept=61.15384615384616)","Mann_Kendall_Test(trend='increasing', h=True, p=0.01628750513407451, z=2.40240857961696, Tau=0.26576576576576577, s=177.0, var_s=5367.0, slope=0.0027067846871858398, intercept=1.4146925097769962)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0002524555402412254, z=3.659755981461877, Tau=0.3768768768768769, s=251.0, var_s=4666.333333333333, slope=0.0, intercept=0.023380315916326184)"
googlesamples\\android-BluetoothLeGatt,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=166.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.9807692307692308)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0013209007447585466)"
googlesamples\\android-Camera2Raw,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.2191787270854348e-06, z=4.85249497720796, Tau=0.8169934640522876, s=125.0, var_s=653.0, slope=1.25, intercept=277.375)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00017265363051688354, z=3.7559957390131355, Tau=0.6209150326797386, s=95.0, var_s=626.3333333333334, slope=0.004545454545454497, intercept=2.1659090909090915)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.004973116330802441)"
googlesamples\\android-WifiRttScan,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=119.25)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.7428571428571429)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
googlesamples\\android-ActionBarCompat-ShareActionProvider,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.7458045189453948, z=0.3241763593892431, Tau=0.04736842105263158, s=9.0, var_s=609.0, slope=0.0, intercept=54.75)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.008138227333575943, z=-2.6462806201248155, Tau=-0.26842105263157895, s=-51.0, var_s=357.0, slope=0.0, intercept=1.28)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0006196545677388254, z=3.4228623101956384, Tau=0.4421052631578947, s=84.0, var_s=588.0, slope=0.0, intercept=0.0008065517176873982)"
googlesamples\\android-testdpc,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=43.69440193008537, Tau=0.9147870696942315, s=470754.0, var_s=116073904.66666667, slope=0.12093023255813953, intercept=23.688372093023254)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0, z=-20.628420443123108, Tau=-0.43238989127583294, s=-222510.0, var_s=116349150.0, slope=-0.023486752805613714, intercept=149.3385529032154)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0, z=-15.964321224836606, Tau=-0.33461004071083644, s=-172192.0, var_s=116337568.0, slope=-0.00022779279139357395, intercept=2.042507590563046)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=19.686407472370103, Tau=0.41064505785991195, s=211320.0, var_s=115224320.0, slope=2.737340637588987e-05, intercept=-0.0022439276453774266)"
googlesamples\\android-PictureInPicture,"Mann_Kendall_Test(trend='no trend', h=False, p=0.05182992721790969, z=1.9445436482630056, Tau=0.5714285714285714, s=12.0, var_s=32.0, slope=0.4, intercept=3.8)","Mann_Kendall_Test(trend='increasing', h=True, p=0.011071644553191984, z=2.540429395319823, Tau=0.8095238095238095, s=17.0, var_s=39.666666666666664, slope=1.4266666666666765, intercept=214.71999999999997)","Mann_Kendall_Test(trend='no trend', h=False, p=0.056738221375193465, z=-1.9053220464898675, Tau=-0.6190476190476191, s=-13.0, var_s=39.666666666666664, slope=-0.03125, intercept=1.602840909090909)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
googlesamples\\android-ActivitySceneTransitionBasic,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.0012027655383102243, z=-3.2382234787218604, Tau=-0.26455026455026454, s=-100.0, var_s=934.6666666666666, slope=0.0, intercept=11.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0183414792758958, z=-2.358651340485517, Tau=-0.2619047619047619, s=-99.0, var_s=1726.3333333333333, slope=0.0, intercept=45.36363636363637)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0012027655383102243, z=-3.2382234787218604, Tau=-0.26455026455026454, s=-100.0, var_s=934.6666666666666, slope=0.0, intercept=1.2162162162162162)","Mann_Kendall_Test(trend='increasing', h=True, p=0.030302906460562884, z=2.1661083739152707, Tau=0.24074074074074073, s=91.0, var_s=1726.3333333333333, slope=0.0, intercept=0.00034567290673625064)"
googlesamples\\android-Camera2Video,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=3.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.1164111857198122e-09, z=6.0918100261994965, Tau=0.7448275862068966, s=324.0, var_s=2811.3333333333335, slope=2.616666666666667, intercept=129.05833333333334)","Mann_Kendall_Test(trend='increasing', h=True, p=1.4121379621201413e-09, z=6.054089840278757, Tau=0.7402298850574712, s=322.0, var_s=2811.3333333333335, slope=0.004784688995215266, intercept=1.9043062200956946)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.003835554234683513)"
googlesamples\\android-Notifications,"Mann_Kendall_Test(trend='no trend', h=False, p=0.14157886335524372, z=1.4699368305183342, Tau=0.15384615384615385, s=12.0, var_s=56.0, slope=0.0, intercept=23.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.13689240527299784, z=-1.4874636181651357, Tau=-0.32051282051282054, s=-25.0, var_s=260.3333333333333, slope=-0.551026570048307, intercept=96.48007246376812)","Mann_Kendall_Test(trend='no trend', h=False, p=0.37750596004664616, z=0.8825009614838204, Tau=0.19230769230769232, s=15.0, var_s=251.66666666666666, slope=0.0049996299996300205, intercept=1.5017482517482519)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0280764693137161, z=-2.196216242953692, Tau=-0.44871794871794873, s=-35.0, var_s=239.66666666666666, slope=-4.9256087194131056e-05, intercept=0.0016932788865865996)"
googlesamples\\android-BasicAccessibility,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=9.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.000293404482942794, z=-3.6210546857285983, Tau=-0.36923076923076925, s=-120.0, var_s=1080.0, slope=0.0, intercept=41.77777777777778)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.2222222222222223)","Mann_Kendall_Test(trend='increasing', h=True, p=0.000293404482942794, z=3.6210546857285983, Tau=0.36923076923076925, s=120.0, var_s=1080.0, slope=0.0, intercept=0.0015512645121715546)"
googlesamples\\android-XYZTouristAttractions,"Mann_Kendall_Test(trend='no trend', h=False, p=0.279647692519881, z=1.0811111087710628, Tau=0.10582010582010581, s=40.0, var_s=1301.3333333333333, slope=0.0, intercept=18.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.7756720288785599, z=0.2849636004056284, Tau=0.03968253968253968, s=15.0, var_s=2413.6666666666665, slope=0.0, intercept=100.83333333333331)","Mann_Kendall_Test(trend='no trend', h=False, p=0.7003540024937083, z=-0.3848426439574118, Tau=-0.047619047619047616, s=-18.0, var_s=1951.3333333333333, slope=0.0, intercept=1.84375)","Mann_Kendall_Test(trend='no trend', h=False, p=0.19261658999110187, z=-1.3028774900574347, Tau=-0.12698412698412698, s=-48.0, var_s=1301.3333333333333, slope=0.0, intercept=6.357949961157929e-05)"
googlesamples\\android-WearVerifyRemoteApp,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.03065423863287431, z=-2.1615323782497966, Tau=-0.22058823529411764, s=-30.0, var_s=180.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.17565230026509937, z=-1.3542635824485085, Tau=-0.2426470588235294, s=-33.0, var_s=558.3333333333334, slope=-0.25, intercept=219.5)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0046728448341091244, z=-2.82876190928009, Tau=-0.4852941176470588, s=-66.0, var_s=528.0, slope=-0.007368110816386676, intercept=1.7512525788387856)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
googlesamples\\android-WearSpeakerSample,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.028386956187788526, z=-2.191896841711736, Tau=-0.19883040935672514, s=-34.0, var_s=226.66666666666666, slope=0.0, intercept=3.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.11488093995745219, z=1.5766288955432854, Tau=0.23976608187134502, s=41.0, var_s=643.6666666666666, slope=0.0, intercept=199.66666666666663)","Mann_Kendall_Test(trend='no trend', h=False, p=0.3441601454151648, z=-0.9459773373259713, Tau=-0.14619883040935672, s=-25.0, var_s=643.6666666666666, slope=0.0, intercept=1.8301886792452833)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
googlesamples\\android-WearHighBandwidthNetworking,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.03821437969666874, z=-2.0725478391232723, Tau=-0.28205128205128205, s=-22.0, var_s=102.66666666666667, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.9434394869504068, z=0.07094756547606032, Tau=0.02564102564102564, s=2.0, var_s=198.66666666666666, slope=0.0, intercept=229.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0014097836803117492, z=-3.1926404464227143, Tau=-0.5897435897435898, s=-46.0, var_s=198.66666666666666, slope=-0.0051353874883286466, intercept=1.6778711484593836)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
googlesamples\\android-WearDrawers,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.03207398960167751, z=-2.143487302301101, Tau=-0.23333333333333334, s=-28.0, var_s=158.66666666666666, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.5131510335318281, z=0.6539391130956793, Tau=0.125, s=15.0, var_s=458.3333333333333, slope=0.0, intercept=101.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.00021297542120102264, z=-3.7031064994212084, Tau=-0.6583333333333333, s=-79.0, var_s=443.6666666666667, slope=-0.004025764895330131, intercept=1.1743579964403763)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
googlesamples\\android-WearComplicationProvidersTestSuite,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.04512694888867608, z=-2.003469213361885, Tau=-0.32727272727272727, s=-18.0, var_s=72.0, slope=0.0, intercept=8.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.04512694888867608, z=-2.003469213361885, Tau=-0.32727272727272727, s=-18.0, var_s=72.0, slope=0.0, intercept=58.125)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.04512694888867608, z=-2.003469213361885, Tau=-0.32727272727272727, s=-18.0, var_s=72.0, slope=0.0, intercept=2.2)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.04512694888867608, z=-2.003469213361885, Tau=-0.32727272727272727, s=-18.0, var_s=72.0, slope=0.0, intercept=0.0017232932150363922)"
googlesamples\\android-WearAccessibilityApp,"Mann_Kendall_Test(trend='no trend', h=False, p=0.14272737556972537, z=-1.4657097546055162, Tau=-0.3888888888888889, s=-14.0, var_s=78.66666666666667, slope=-0.3333333333333333, intercept=33.333333333333336)","Mann_Kendall_Test(trend='no trend', h=False, p=0.832107365106955, z=0.211999576001272, Tau=0.08333333333333333, s=3.0, var_s=89.0, slope=0.09375, intercept=53.3125)","Mann_Kendall_Test(trend='no trend', h=False, p=0.9137948648205594, z=0.10825317547305484, Tau=0.05555555555555555, s=2.0, var_s=85.33333333333333, slope=0.0, intercept=1.2291666666666667)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.042825609230891404, z=-2.025406805378299, Tau=-0.5555555555555556, s=-20.0, var_s=88.0, slope=-0.00013479671292541268, intercept=0.00976012745191801)"
googlesamples\\android-WatchFace,"Mann_Kendall_Test(trend='increasing', h=True, p=0.014164836324701335, z=2.4530558016426305, Tau=0.28403361344537814, s=169.0, var_s=4690.333333333333, slope=0.14285714285714285, intercept=14.571428571428571)","Mann_Kendall_Test(trend='increasing', h=True, p=0.032306209118363904, z=2.140601235029594, Tau=0.253781512605042, s=151.0, var_s=4910.333333333333, slope=0.5164835164835243, intercept=178.63154492566247)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.011722829782212285, z=-2.5203797128714154, Tau=-0.29747899159663865, s=-177.0, var_s=4876.333333333333, slope=-0.010524380052299345, intercept=2.2893439087418495)","Mann_Kendall_Test(trend='decreasing', h=True, p=2.9616309404900676e-12, z=-6.979527816578437, Tau=-0.8050420168067227, s=-479.0, var_s=4690.333333333333, slope=-1.2763571913721935e-05, intercept=0.0004812571977555462)"
