,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
aws-samples\\amazon-kinesis-analytics-beam-taxi-consumer,"Mann_Kendall_Test(trend='increasing', h=True, p=0.00022609823384200922, z=3.687916029098434, Tau=0.3399014778325123, s=138.0, var_s=1380.0, slope=0.0, intercept=10.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00022609823384200922, z=3.687916029098434, Tau=0.3399014778325123, s=138.0, var_s=1380.0, slope=0.0, intercept=51.4)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00022609823384200922, z=3.687916029098434, Tau=0.3399014778325123, s=138.0, var_s=1380.0, slope=0.0, intercept=1.3095238095238095)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00022609823384200922, z=3.687916029098434, Tau=0.3399014778325123, s=138.0, var_s=1380.0, slope=0.0, intercept=0.00012937110150232912)"
aws-samples\\aws-glue-data-catalog-replication-utility,"Mann_Kendall_Test(trend='increasing', h=True, p=0.019957628390241178, z=2.327143510642841, Tau=0.09743589743589744, s=76.0, var_s=1038.6666666666667, slope=0.0, intercept=16.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.019957628390241178, z=2.327143510642841, Tau=0.09743589743589744, s=76.0, var_s=1038.6666666666667, slope=0.0, intercept=123.375)","Mann_Kendall_Test(trend='increasing', h=True, p=0.019957628390241178, z=2.327143510642841, Tau=0.09743589743589744, s=76.0, var_s=1038.6666666666667, slope=0.0, intercept=2.5612244897959178)","Mann_Kendall_Test(trend='increasing', h=True, p=0.019957628390241178, z=2.327143510642841, Tau=0.09743589743589744, s=76.0, var_s=1038.6666666666667, slope=0.0, intercept=0.01305391161076841)"
aws-samples\\aws-dms-cdc-sample,"Mann_Kendall_Test(trend='increasing', h=True, p=0.014214038869082124, z=2.45180823808952, Tau=0.5333333333333333, s=24.0, var_s=88.0, slope=0.25, intercept=-1.125)","Mann_Kendall_Test(trend='increasing', h=True, p=0.014214038869082124, z=2.45180823808952, Tau=0.5333333333333333, s=24.0, var_s=88.0, slope=4.3125, intercept=-19.40625)","Mann_Kendall_Test(trend='increasing', h=True, p=0.014214038869082124, z=2.45180823808952, Tau=0.5333333333333333, s=24.0, var_s=88.0, slope=0.25, intercept=-1.125)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
aws-samples\\amazon-kinesis-analytics-streaming-etl,"Mann_Kendall_Test(trend='no trend', h=False, p=0.10424971835385954, z=1.624591083221647, Tau=0.0625, s=31.0, var_s=341.0, slope=0.0, intercept=6.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0011898348738335063, z=3.241305764006246, Tau=0.2318548387096774, s=115.0, var_s=1237.0, slope=0.0, intercept=210.33333333333331)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0011898348738335063, z=3.241305764006246, Tau=0.2318548387096774, s=115.0, var_s=1237.0, slope=0.0, intercept=1.4821428571428572)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10424971835385954, z=1.624591083221647, Tau=0.0625, s=31.0, var_s=341.0, slope=0.0, intercept=8.18301341496408e-05)"
aws-samples\\alexa-top-sites-api-samples,"Mann_Kendall_Test(trend='no trend', h=False, p=0.2320638445426746, z=1.1950593451000746, Tau=0.17391304347826086, s=44.0, var_s=1294.6666666666667, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.11304897789624047, z=1.5846363639873855, Tau=0.233201581027668, s=59.0, var_s=1339.6666666666667, slope=1.0666666666666687, intercept=70.26666666666665)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0.0, Tau=0.003952569169960474, s=1.0, var_s=1339.6666666666667, slope=0.0, intercept=2.25)","Mann_Kendall_Test(trend='no trend', h=False, p=0.45789238183101655, z=-0.7423218080230882, Tau=-0.09486166007905138, s=-24.0, var_s=960.0, slope=0.0, intercept=0.0)"
aws-samples\\aws-device-farm-appium-tests-for-sample-app,"Mann_Kendall_Test(trend='no trend', h=False, p=0.1120393390749399, z=1.5890932607321535, Tau=0.08333333333333333, s=23.0, var_s=191.66666666666666, slope=0.0, intercept=46.0)","Mann_Kendall_Test(trend='increasing', h=True, p=7.720975903513505e-06, z=4.47277845711553, Tau=0.644927536231884, s=178.0, var_s=1566.0, slope=0.0900621118012422, intercept=24.681677018633543)","Mann_Kendall_Test(trend='increasing', h=True, p=4.059337133099916e-08, z=5.4882506796235235, Tau=0.7898550724637681, s=218.0, var_s=1563.3333333333333, slope=0.006368565261533307, intercept=1.0239051478683607)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0005065414846923133, z=-3.4772731516848907, Tau=-0.5036231884057971, s=-139.0, var_s=1575.0, slope=-3.795286457368861e-05, intercept=0.012293033807002569)"
aws-samples\\designing-cloud-native-microservices-on-aws,"Mann_Kendall_Test(trend='increasing', h=True, p=0.012731364269923606, z=2.4911966213168735, Tau=0.3626373626373626, s=33.0, var_s=165.0, slope=0.0, intercept=102.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.012731364269923606, z=2.4911966213168735, Tau=0.3626373626373626, s=33.0, var_s=165.0, slope=0.0, intercept=21.735294117647058)","Mann_Kendall_Test(trend='increasing', h=True, p=0.012731364269923606, z=2.4911966213168735, Tau=0.3626373626373626, s=33.0, var_s=165.0, slope=0.0, intercept=1.108695652173913)","Mann_Kendall_Test(trend='increasing', h=True, p=0.012731364269923606, z=2.4911966213168735, Tau=0.3626373626373626, s=33.0, var_s=165.0, slope=0.0, intercept=0.22213849887118034)"
aws-samples\\amazon-kinesis-learning,"Mann_Kendall_Test(trend='no trend', h=False, p=0.512288755270045, z=0.6552780424957785, Tau=0.11764705882352941, s=16.0, var_s=524.0, slope=0.0, intercept=9.0)","Mann_Kendall_Test(trend='increasing', h=True, p=6.538684558266006e-05, z=3.9924763880278253, Tau=0.6985294117647058, s=95.0, var_s=554.3333333333334, slope=0.3958333333333314, intercept=48.14583333333335)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10061889328962437, z=-1.6418606168012897, Tau=-0.2867647058823529, s=-39.0, var_s=535.6666666666666, slope=-0.010778836121301889, intercept=1.7300663054087713)","Mann_Kendall_Test(trend='no trend', h=False, p=0.7988475148648475, z=-0.2548389183847548, Tau=-0.051470588235294115, s=-7.0, var_s=554.3333333333334, slope=0.0, intercept=0.0004179891208574797)"
aws-samples\\amazon-athena-train-amazon-sagemaker,"Mann_Kendall_Test(trend='no trend', h=False, p=0.08136112923407546, z=1.7428425057933377, Tau=0.47619047619047616, s=10.0, var_s=26.666666666666668, slope=0.0, intercept=166.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.08136112923407546, z=1.7428425057933377, Tau=0.47619047619047616, s=10.0, var_s=26.666666666666668, slope=0.0, intercept=87.17469879518072)","Mann_Kendall_Test(trend='no trend', h=False, p=0.08136112923407546, z=1.7428425057933377, Tau=0.47619047619047616, s=10.0, var_s=26.666666666666668, slope=0.0, intercept=1.7384044526901672)","Mann_Kendall_Test(trend='no trend', h=False, p=0.08136112923407546, z=1.7428425057933377, Tau=0.47619047619047616, s=10.0, var_s=26.666666666666668, slope=0.0, intercept=0.017736425727133496)"
aws-samples\\alexa-web-information-service-api-samples,"Mann_Kendall_Test(trend='increasing', h=True, p=3.91902469796257e-05, z=4.112202407933637, Tau=0.5367965367965368, s=124.0, var_s=894.6666666666666, slope=0.09090909090909091, intercept=5.045454545454545)","Mann_Kendall_Test(trend='increasing', h=True, p=5.177673447098741e-06, z=4.557456803720791, Tau=0.6796536796536796, s=157.0, var_s=1171.6666666666667, slope=0.8888888888888905, intercept=132.33333333333331)","Mann_Kendall_Test(trend='no trend', h=False, p=0.5939007149797388, z=0.5331919477214053, Tau=0.08225108225108226, s=19.0, var_s=1139.6666666666667, slope=0.0, intercept=2.5106382978723403)","Mann_Kendall_Test(trend='increasing', h=True, p=0.025092210052111152, z=2.239980173427266, Tau=0.2943722943722944, s=68.0, var_s=894.6666666666666, slope=0.0, intercept=0.02585746596256892)"
