framework,projeto,readability,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
AWS,aws-samples/amazon-qldb-double-entry-sample-java,0.008938045857803445,23,23,23,23,173,4,145,19,0,0,0,0,34,4,10,102,0,103,81,49,85,0,8,17,0,60,0,2473,333,1252,748,472,888,0,0,0,625,758,555,203,0,0,0,0,0,35,35,36,28,0,0,11,0,0,0,13,1537,121,121,123,107,32
AWS,aws-samples/amazon-rds-data-api-demo,0.053974504272143044,4,4,4,3,47,9,35,2,0,0,0,0,4,0,6,7,0,7,7,1,7,0,0,1,0,6,0,176,45,114,70,62,18,0,0,0,85,97,68,29,0,0,0,0,0,5,5,5,3,0,0,2,0,0,0,0,55,9,9,9,7,3
AWS,aws-samples/amazon-sqs-java-temporary-queues-client-samples,0.06748544847165855,19,19,19,14,127,4,115,2,0,0,0,0,15,16,22,55,0,58,32,8,48,0,3,5,0,40,0,784,147,620,327,286,18,0,0,0,355,442,293,149,0,0,0,0,0,34,34,34,14,0,0,15,0,0,0,0,77,85,85,85,55,15
AWS,aws-samples/amazon-sumerian-arcore-starter-app,0.0,9,9,9,5,87,8,60,17,0,0,0,0,10,7,12,33,0,33,26,18,33,0,3,6,2,22,0,803,124,519,212,306,163,0,0,0,314,390,199,191,0,0,0,0,0,24,23,24,14,0,0,9,0,0,0,0,240,69,68,70,42,5
AWS,aws-samples/amazon-textract-searchable-pdf,0.15235724486410618,18,18,20,10,208,36,141,25,0,0,0,0,11,1,0,30,0,28,29,12,30,0,0,13,0,17,0,789,160,577,275,354,52,0,0,0,378,462,278,184,0,0,0,0,0,36,36,38,10,0,0,17,0,0,0,1,114,64,64,66,30,11
AWS,aws-samples/amazon-workmail-demo-ews-push-notifications,0.0442608328802245,5,5,6,4,72,12,46,11,0,0,0,0,9,3,5,12,0,12,8,38,11,0,0,7,0,4,0,422,86,296,200,112,42,0,0,0,189,217,170,47,0,0,0,0,0,10,10,11,6,0,0,6,0,0,0,0,75,21,21,22,14,7
AWS,aws-samples/aws-ai-tracking-bot,0.16488380813433862,55,55,55,46,441,17,331,80,0,0,0,0,88,32,41,295,0,323,297,163,329,0,61,50,8,210,0,5237,737,3308,1426,1725,1222,0,0,0,1880,2395,1305,1090,0,0,0,0,0,110,110,120,56,0,0,46,0,0,0,41,1474,466,464,490,310,52
AWS,aws-samples/aws-amazonmq-apachecamel-sample,0.019480497013622273,3,3,3,3,25,0,20,6,0,0,0,0,3,2,4,5,0,5,3,0,5,0,0,1,0,4,0,135,16,56,25,30,68,0,0,0,26,34,25,9,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,149,5,5,5,5,3
AWS,aws-samples/aws-blog-athena-custom-jdbc-credentials,0.07217772305011749,2,2,2,2,10,3,6,0,0,0,0,0,2,0,0,7,0,7,7,5,7,0,0,0,1,6,0,82,29,48,28,12,5,0,0,0,28,37,28,9,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,26,7,7,7,7,2
AWS,aws-samples/aws-cloudhsm-jce-examples,1.8595038757969935e-05,52,47,54,36,598,62,363,156,0,0,0,0,24,76,11,86,0,84,10,9,86,0,0,28,0,58,0,3387,416,1855,731,1207,1118,0,0,0,1143,1383,667,716,0,0,0,0,0,140,115,151,80,0,0,34,0,0,0,6,965,267,242,289,179,21
