full_name,Buse Readability trend,Buse Readability pvalue,framework,Java trend,Java pvalue,Classes trend,Classes pvalue,Packages trend,Packages pvalue,LOC trend,LOC pvalue,PL trend,PL pvalue,RFC trend,RFC pvalue,CLOC trend,CLOC pvalue,CBO trend,CBO pvalue,NOC trend,NOC pvalue,LCOM trend,LCOM pvalue,WMC trend,WMC pvalue,DIT trend,DIT pvalue,Class Variables trend,Class Variables pvalue,Class Methods trend,Class Methods pvalue,NIM trend,NIM pvalue,NIV trend,NIV pvalue,Local Methods trend,Local Methods pvalue,Methods trend,Methods pvalue,Default Methods trend,Default Methods pvalue,Private Methods trend,Private Methods pvalue,Protected Methods trend,Protected Methods pvalue,Public Methods trend,Public Methods pvalue,BLOC trend,BLOC pvalue,Declarative Line of Code trend,Declarative Line of Code pvalue,Executable Line of Code trend,Executable Line of Code pvalue,Statements trend,Statements pvalue,Declarative Statements trend,Declarative Statements pvalue,Executable Statements trend,Executable Statements pvalue,Comment to Code Ratio trend,Comment to Code Ratio pvalue,questions trend,questions pvalue
aws-samples/aws-transcribe-streaming-example-java,,,aws-samples,no trend,0.1120393390749399,no trend,0.1120393390749399,no trend,1.0,no trend,1.0,no trend,1.0,increasing,0.021750434322510337,increasing,0.021750434322510337,no trend,1.0,no trend,1.0,increasing,0.0284957038918503,increasing,0.021750434322510337,no trend,1.0,no trend,1.0,no trend,1.0,increasing,0.021750434322510337,decreasing,0.021750434322510337,increasing,0.021750434322510337,increasing,0.021750434322510337,no trend,1.0,no trend,1.0,no trend,1.0,increasing,0.021750434322510337,decreasing,0.021750434322510337,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,increasing,0.021750434322510337,increasing,0.00041956812261112475
aws-samples/alexa-web-information-service-api-samples,,,aws-samples,increasing,0.0002476242575277787,increasing,7.772732108968228e-05,increasing,0.0002476242575277787,decreasing,7.772732108968228e-05,increasing,0.01125124409496836,decreasing,0.01125124409496836,increasing,0.01125124409496836,increasing,0.00465511973176258,no trend,1.0,increasing,0.00174081655990177,decreasing,0.0004957359325052924,no trend,1.0,increasing,0.00174081655990177,increasing,0.00174081655990177,decreasing,7.772732108968228e-05,increasing,0.01125124409496836,increasing,0.01125124409496836,decreasing,0.01125124409496836,increasing,0.01125124409496836,decreasing,7.772732108968228e-05,decreasing,7.772732108968228e-05,increasing,7.772732108968228e-05,increasing,0.01125124409496836,increasing,0.01125124409496836,increasing,0.01125124409496836,increasing,0.01125124409496836,increasing,0.00174081655990177,decreasing,0.0004957359325052924,increasing,0.01125124409496836,increasing,0.008138227333575943
aws-samples/amazon-textract-searchable-pdf,,,aws-samples,no trend,1.0,no trend,1.0,no trend,1.0,no trend,0.1366410048074831,no trend,0.1366410048074831,no trend,0.1366410048074831,no trend,1.0,no trend,0.1366410048074831,no trend,1.0,no trend,0.1366410048074831,no trend,0.1366410048074831,no trend,1.0,no trend,1.0,no trend,0.1366410048074831,no trend,0.1366410048074831,no trend,1.0,no trend,0.1366410048074831,no trend,0.1366410048074831,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,0.1366410048074831,no trend,0.1366410048074831,no trend,0.1366410048074831,no trend,0.1366410048074831,no trend,1.0,no trend,0.1366410048074831,no trend,0.1366410048074831,no trend,0.1366410048074831
Azure-Samples/active-directory-android,,,Azure-Samples,increasing,0.0014706743365879849,increasing,0.0003308312203147423,increasing,0.029033257755445074,increasing,0.0003308312203147423,increasing,0.0003308312203147423,increasing,0.029033257755445074,increasing,0.0003308312203147423,increasing,0.0003308312203147423,no trend,1.0,no trend,0.16347962000983118,increasing,0.0003308312203147423,increasing,0.0003308312203147423,increasing,0.0003308312203147423,no trend,1.0,increasing,0.029033257755445074,increasing,0.029033257755445074,increasing,0.029033257755445074,increasing,0.029033257755445074,no trend,1.0,increasing,0.029033257755445074,increasing,0.029033257755445074,increasing,0.029033257755445074,increasing,0.029033257755445074,increasing,0.0003308312203147423,increasing,0.0003308312203147423,increasing,0.0003308312203147423,increasing,0.0003308312203147423,increasing,0.0003308312203147423,increasing,0.029033257755445074,increasing,1.5905141870220518e-08
Azure-Samples/storage-blob-java-getting-started,,,Azure-Samples,increasing,4.4945437371879393e-07,increasing,4.4945437371879393e-07,no trend,0.09383863903410994,no trend,0.4211286638590741,no trend,0.4211286638590741,decreasing,0.000143005483581371,decreasing,2.190577065963595e-06,decreasing,2.190577065963595e-06,no trend,1.0,decreasing,0.004364671763665173,decreasing,0.000143005483581371,no trend,0.09383863903410994,decreasing,0.0035318136498436736,decreasing,2.190577065963595e-06,increasing,4.4945437371879393e-07,no trend,1.0,decreasing,0.000143005483581371,decreasing,0.000143005483581371,increasing,2.613350329472297e-07,decreasing,0.000143005483581371,no trend,1.0,decreasing,1.6589436513392286e-07,no trend,0.4211286638590741,decreasing,0.000143005483581371,no trend,0.4211286638590741,no trend,0.4211286638590741,decreasing,0.000143005483581371,no trend,0.4211286638590741,no trend,0.4211286638590741,increasing,0.0
Azure-Samples/storage-table-java-getting-started,,,Azure-Samples,increasing,2.613350329472297e-07,increasing,2.613350329472297e-07,increasing,3.393707537213686e-11,no trend,0.933144892624044,no trend,0.933144892624044,no trend,1.0,decreasing,1.9273471707492718e-13,no trend,1.0,no trend,1.0,decreasing,9.408823815615364e-07,no trend,1.0,decreasing,2.613350329472297e-07,no trend,1.0,no trend,0.8662044471890813,decreasing,9.408823815615364e-07,decreasing,9.408823815615364e-07,no trend,1.0,no trend,1.0,increasing,2.613350329472297e-07,decreasing,2.613350329472297e-07,no trend,1.0,no trend,1.0,decreasing,1.9273471707492718e-13,no trend,1.0,no trend,0.933144892624044,no trend,0.933144892624044,no trend,1.0,no trend,0.933144892624044,no trend,1.0,increasing,3.1477820350289676e-10
Azure-Samples/active-directory-java-webapp-openidconnect,,,Azure-Samples,no trend,1.0,increasing,1.0098975899985874e-07,no trend,1.0,no trend,1.0,no trend,1.0,increasing,1.0098975899985874e-07,no trend,0.6892631027054179,increasing,1.7763568394002505e-15,decreasing,1.414898047613633e-07,increasing,4.3624759804572477e-07,increasing,4.3624759804572477e-07,decreasing,4.3624759804572477e-07,increasing,4.3624759804572477e-07,decreasing,1.0098975899985874e-07,increasing,1.0098975899985874e-07,decreasing,1.0098975899985874e-07,increasing,1.414898047613633e-07,increasing,1.0098975899985874e-07,decreasing,1.414898047613633e-07,increasing,1.0098975899985874e-07,no trend,1.0,decreasing,1.414898047613633e-07,increasing,1.7763568394002505e-15,increasing,1.7763568394002505e-15,decreasing,4.3624759804572477e-07,increasing,1.7763568394002505e-15,increasing,1.7763568394002505e-15,increasing,1.7763568394002505e-15,increasing,3.6773162721548402e-06,increasing,0.0
Azure-Samples/compute-java-manage-vm,,,Azure-Samples,decreasing,0.00857494991561536,no trend,0.2698409434724014,decreasing,0.018331794620799036,increasing,0.0,increasing,0.0,increasing,2.886579864025407e-15,increasing,0.0,increasing,1.9984014443252818e-15,no trend,1.0,increasing,1.4849659992766107e-06,increasing,0.0,decreasing,0.011936550294011194,increasing,8.96051766119399e-09,increasing,2.886579864025407e-15,decreasing,0.011936550294011194,decreasing,0.011936550294011194,increasing,2.886579864025407e-15,increasing,2.886579864025407e-15,no trend,1.0,increasing,1.6581891415512473e-10,no trend,1.0,increasing,2.886579864025407e-15,increasing,0.0,increasing,2.886579864025407e-15,increasing,0.0,increasing,0.0,increasing,0.0,increasing,0.0,no trend,0.17514420346923876,increasing,7.824675097056755e-05
Azure-Samples/network-java-manage-network-security-group,,,Azure-Samples,increasing,0.009122578733311126,increasing,0.0006905880105216866,decreasing,0.018331794620799036,increasing,0.0001346631743857074,increasing,5.941797746977784e-05,increasing,2.0597126116905784e-05,increasing,1.232232728520799e-06,increasing,9.861705878444482e-05,no trend,1.0,increasing,0.006846872835974294,increasing,3.0832268488989456e-05,increasing,0.014946005514071992,increasing,0.01139024219831275,increasing,2.6976707658166177e-05,increasing,0.0012002800876116382,increasing,0.0012002800876116382,increasing,2.0597126116905784e-05,increasing,2.0597126116905784e-05,no trend,1.0,increasing,0.002036377903325226,no trend,1.0,increasing,2.358247557499027e-05,increasing,0.00023192660924520325,increasing,0.00011172484959764972,increasing,0.00012646398012794435,increasing,0.00011172484959764972,increasing,0.00011172484959764972,increasing,0.00011172484959764972,no trend,0.13750041815360725,increasing,3.389131197906181e-10
Azure-Samples/resources-java-manage-resource-group,,,Azure-Samples,decreasing,0.0036593346537405758,no trend,0.15236588393968642,decreasing,0.018331794620799036,increasing,0.0,increasing,0.0,increasing,1.5543122344752192e-15,increasing,0.0,increasing,1.7763568394002505e-15,no trend,1.0,increasing,1.4849659992766107e-06,increasing,0.0,decreasing,0.011936550294011194,increasing,8.96051766119399e-09,increasing,1.5543122344752192e-15,no trend,0.05740729929877153,decreasing,0.011936550294011194,increasing,1.5543122344752192e-15,increasing,1.5543122344752192e-15,no trend,1.0,increasing,1.252087322711759e-11,no trend,1.0,increasing,1.5543122344752192e-15,increasing,0.0,increasing,2.6645352591003757e-15,increasing,0.0,increasing,0.0,increasing,0.0,increasing,0.0,no trend,0.1294936473712831,increasing,7.892290502242716e-06
Azure-Samples/resources-java-manage-resource,,,Azure-Samples,decreasing,0.0036593346537405758,no trend,0.15236588393968642,decreasing,0.018331794620799036,increasing,0.0,increasing,0.0,increasing,1.5543122344752192e-15,increasing,0.0,increasing,1.7763568394002505e-15,no trend,1.0,increasing,1.4849659992766107e-06,increasing,0.0,decreasing,0.011936550294011194,increasing,8.96051766119399e-09,increasing,2.220446049250313e-15,no trend,0.05740729929877153,decreasing,0.011936550294011194,increasing,1.5543122344752192e-15,increasing,1.5543122344752192e-15,no trend,1.0,increasing,1.252087322711759e-11,no trend,1.0,increasing,1.5543122344752192e-15,increasing,0.0,increasing,2.6645352591003757e-15,increasing,0.0,increasing,0.0,increasing,0.0,increasing,0.0,no trend,0.930695450904752,increasing,7.892290502242716e-06
Azure-Samples/batch-java-manage-batch-accounts,,,Azure-Samples,decreasing,0.002662611084082167,decreasing,0.0040276593411134876,no trend,1.0,increasing,0.0,increasing,0.0,increasing,1.2878587085651816e-14,increasing,0.0,increasing,4.085620730620576e-14,no trend,1.0,increasing,3.652865476766465e-08,increasing,0.0,decreasing,0.0040276593411134876,increasing,1.2384105629870135e-07,increasing,1.2878587085651816e-14,decreasing,0.0040276593411134876,decreasing,0.0040276593411134876,increasing,1.2878587085651816e-14,increasing,1.2878587085651816e-14,no trend,1.0,increasing,3.781758595167162e-08,no trend,1.0,increasing,1.2878587085651816e-14,increasing,0.0,increasing,1.2878587085651816e-14,increasing,0.0,increasing,0.0,increasing,0.0,increasing,0.0,no trend,0.661182747391597,increasing,7.657877887368159e-09
Azure-Samples/storage-blob-android-photo-uploader,,,Azure-Samples,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,increasing,7.161504500530214e-08,no trend,1.0,increasing,7.161504500530214e-08,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,increasing,7.161504500530214e-08,increasing,1.5038824723312416e-06
