,,Buse Readability,Scalabrino Readability,FANIN,FANOUT,CC,CCM,CCS,EC,KNTS,NPATH,NPLOG,PL,LOC,DLOC,Executable Line of Code,CLOC,BL,NV,AM,NPRM,NPM,PM,LM,STMT,DSTMT,ESTMT,CCR,WMC,NOC,DIT,LCOM,CBO,RFC,NIV,questions
2015,8,0.9999999999999987,0.035112800703434435,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999999999,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,9,0.9999999999999987,0.035112800703434435,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999999999,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,10,1.0,0.03476506374315018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,11,1.0,0.06788588859159483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2015,12,1.0,0.06788588859159483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2016,1,0.0,0.09047159985763623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.0,1.0,0.0
2016,2,0.0,0.09047159985763623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.0,1.0,0.0
2016,3,0.0,0.09047159985763623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.0,1.0,0.0
2016,4,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2016,5,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
