AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,buse_readability,scalabrino_readability
,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,10.0,8.0,d5141f7403a74db3a9ffdcbd33008dcd0f78a885,2015-03-06 15:53:16+00:00,6.766785081708804e-05,0.5802499055094791
,,,,,,,,,,,,,,,,,,,,,,,,,,6.458333333333333,15.833333333333334,0.3611111111111111,14.180555555555555,2.513888888888889,11.097222222222221,1.3055555555555556,6.513888888888889,3.9722222222222223,0.2222222222222222,6.819444444444445,9.305555555555555,2.6944444444444446,7.875,2.263888888888889,2.138888888888889,2.388888888888889,1.1527777777777777,0.9722222222222222,,,,,0.2361111111111111,,0.5416666666666666,0.2361111111111111,,,0.11763888888888888,2.263888888888889,2.138888888888889,2.388888888888889,1.1527777777777777,method,,,1fe1957ee03b785ea12ddfe041e7800486b94072,2015-03-09 11:52:29+00:00,5.63898756809067e-05,0.5576670304597624
1.7407407407407407,1.6296296296296295,1.7407407407407407,1.0,10.851851851851851,0.1111111111111111,9.962962962962964,0.5185185185185185,1.2592592592592593,8.25925925925926,5.7407407407407405,0.07407407407407407,,0.037037037037037035,0.6666666666666666,,,,2.8518518518518516,1.2592592592592593,2.888888888888889,16.48148148148148,0.0,0.7037037037037037,0.25925925925925924,1.9259259259259258,,57.96296296296296,4.888888888888889,46.48148148148148,11.222222222222221,33.851851851851855,6.62962962962963,,,,20.666666666666668,28.11111111111111,9.962962962962964,21.703703703703702,,,,,,2.7037037037037037,2.5555555555555554,2.740740740740741,1.3703703703703705,,2.074074074074074,0.8518518518518519,,11.962962962962964,11.333333333333334,0.10666666666666667,6.296296296296297,5.962962962962963,6.62962962962963,3.2962962962962963,class,,,1fe1957ee03b785ea12ddfe041e7800486b94072,2015-03-09 11:52:29+00:00,5.63898756809067e-05,0.5576670304597624
,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,12.0,10.0,1fe1957ee03b785ea12ddfe041e7800486b94072,2015-03-09 11:52:29+00:00,5.63898756809067e-05,0.5576670304597624
,,,,,,,,,,,,,,,,,,,,,,,,,,6.552631578947368,15.789473684210526,0.34210526315789475,14.18421052631579,2.5526315789473686,11.105263157894736,1.2763157894736843,6.4868421052631575,3.8947368421052633,0.21052631578947367,6.855263157894737,9.31578947368421,2.6973684210526314,7.881578947368421,2.276315789473684,2.1315789473684212,2.3947368421052633,1.1710526315789473,0.9868421052631579,,,,,0.25,,0.5526315789473685,0.25,,,0.1193421052631579,2.276315789473684,2.1315789473684212,2.3947368421052633,1.1710526315789473,method,,,0426890e623d831409af91eb1413e2221ec78997,2015-03-09 14:41:46+00:00,5.63898756809067e-05,0.5478466950569455
1.7407407407407407,1.6296296296296295,1.7407407407407407,1.0,10.777777777777779,0.1111111111111111,9.925925925925926,0.5555555555555556,1.2962962962962963,8.592592592592593,6.0,0.07407407407407407,,0.037037037037037035,0.7407407407407407,,,,3.0,1.3703703703703705,3.037037037037037,16.62962962962963,0.0,0.8148148148148148,0.25925925925925924,1.962962962962963,,60.629629629629626,4.962962962962963,48.888888888888886,12.0,35.592592592592595,6.814814814814815,,,,21.962962962962962,29.703703703703702,10.555555555555555,22.88888888888889,,,,,,2.7037037037037037,2.5555555555555554,2.740740740740741,1.3703703703703705,,2.074074074074074,0.8518518518518519,,12.25925925925926,11.074074074074074,0.10592592592592594,6.666666666666667,6.2592592592592595,7.0,3.5185185185185186,class,,,0426890e623d831409af91eb1413e2221ec78997,2015-03-09 14:41:46+00:00,5.63898756809067e-05,0.5478466950569455
,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,12.0,10.0,0426890e623d831409af91eb1413e2221ec78997,2015-03-09 14:41:46+00:00,5.63898756809067e-05,0.5478466950569455
,,,,,,,,,,,,,,,,,,,,,,,,,,6.565217391304348,16.065217391304348,0.2826086956521739,14.434782608695652,2.630434782608696,11.228260869565217,1.3695652173913044,6.586956521739131,3.869565217391304,0.21739130434782608,6.891304347826087,9.5,2.7717391304347827,8.0,2.4347826086956523,2.3152173913043477,2.652173913043478,1.184782608695652,1.1195652173913044,,,,,0.29347826086956524,,0.6413043478260869,0.29347826086956524,,,0.13673913043478264,2.4347826086956523,2.3152173913043477,2.652173913043478,1.184782608695652,method,,,59d5c9d93f90aa7424a5fb985be4977e93d992e5,2015-03-09 15:09:32+00:00,4.206617692640672e-05,0.5539527271022742
1.65625,1.5625,1.6875,1.0,9.875,0.0625,9.1875,0.46875,1.25,8.6875,5.65625,0.0625,,0.03125,0.84375,,,,3.03125,1.34375,3.0625,16.5625,0.0,0.9375,0.3125,1.8125,,62.34375,4.46875,51.15625,12.5625,37.25,6.78125,,,,22.9375,31.46875,11.21875,24.15625,,,,,,2.65625,2.53125,2.6875,1.4375,,2.0625,0.875,,10.59375,9.625,0.08687500000000001,7.21875,6.875,7.84375,3.59375,class,,,59d5c9d93f90aa7424a5fb985be4977e93d992e5,2015-03-09 15:09:32+00:00,4.206617692640672e-05,0.5539527271022742
,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,12.0,10.0,59d5c9d93f90aa7424a5fb985be4977e93d992e5,2015-03-09 15:09:32+00:00,4.206617692640672e-05,0.5539527271022742
