AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate
1.8157894736842106,1.8157894736842106,2.0,1.2105263157894737,9.842105263157896,0.34210526315789475,9.052631578947368,0.21052631578947367,1.1842105263157894,8.078947368421053,5.0,0.02631578947368421,,0.39473684210526316,1.4473684210526316,,,,2.763157894736842,1.6842105263157894,3.1578947368421053,16.36842105263158,0.05263157894736842,0.7631578947368421,0.39473684210526316,1.9473684210526316,,73.36842105263158,7.657894736842105,62.68421052631579,17.842105263157894,39.078947368421055,3.026315789473684,,,,28.763157894736842,42.1578947368421,16.105263157894736,29.05263157894737,,,,,,3.0789473684210527,3.0789473684210527,3.3947368421052633,1.763157894736842,,1.7105263157894737,1.1578947368421053,,18.36842105263158,15.18421052631579,0.06,7.131578947368421,7.131578947368421,7.842105263157895,4.368421052631579,class,,,f08bb4b8a2d1eb3c79568cf7c6daaad45677a0f6,2015-01-21 17:19:08+09:00
,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,13.0,4.0,f08bb4b8a2d1eb3c79568cf7c6daaad45677a0f6,2015-01-21 17:19:08+09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,4.05050505050505,10.797979797979798,0.5757575757575758,9.777777777777779,2.101010101010101,6.6767676767676765,0.4444444444444444,4.656565656565657,2.898989898989899,0.20202020202020202,4.6767676767676765,7.040404040404041,2.272727272727273,5.383838383838384,2.1616161616161618,2.1616161616161618,2.3535353535353534,1.2626262626262625,0.8080808080808081,,,,,0.36363636363636365,,0.696969696969697,0.35353535353535354,,,0.0791919191919192,2.1616161616161618,2.1616161616161618,2.3535353535353534,1.2626262626262625,method,,,9f7a4bbf6683b11f268aa7bf17131cc71b3b0e48,2015-01-21 21:47:48+09:00
1.6857142857142857,1.6857142857142857,1.7714285714285714,1.0857142857142856,9.342857142857143,0.37142857142857144,8.542857142857143,0.17142857142857143,1.2,8.17142857142857,5.314285714285714,0.02857142857142857,,0.42857142857142855,1.5714285714285714,,,,2.657142857142857,1.7714285714285714,3.085714285714286,16.314285714285713,0.05714285714285714,0.7428571428571429,0.2,2.085714285714286,,66.37142857142857,8.057142857142857,55.65714285714286,18.228571428571428,33.42857142857143,2.657142857142857,,,,26.257142857142856,38.05714285714286,16.142857142857142,24.742857142857144,,,,,,2.8857142857142857,2.8857142857142857,3.257142857142857,1.6,,1.6857142857142857,1.0571428571428572,,19.8,15.82857142857143,0.05742857142857143,6.4,6.4,6.942857142857143,3.857142857142857,class,,,9f7a4bbf6683b11f268aa7bf17131cc71b3b0e48,2015-01-21 21:47:48+09:00
,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,13.0,4.0,9f7a4bbf6683b11f268aa7bf17131cc71b3b0e48,2015-01-21 21:47:48+09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,4.070707070707071,10.848484848484848,0.5656565656565656,9.787878787878787,2.090909090909091,6.686868686868687,0.494949494949495,4.6767676767676765,2.898989898989899,0.20202020202020202,4.6767676767676765,7.040404040404041,2.2626262626262625,5.393939393939394,2.1616161616161618,2.1616161616161618,2.3535353535353534,1.2626262626262625,0.8080808080808081,,,,,0.36363636363636365,,0.696969696969697,0.35353535353535354,,,0.08434343434343435,2.1616161616161618,2.1616161616161618,2.3535353535353534,1.2626262626262625,method,,,aaec77b6175f5f472f602ce3337319f04611f39b,2015-01-22 16:58:19+09:00
1.6857142857142857,1.6857142857142857,1.7714285714285714,1.0857142857142856,9.485714285714286,0.34285714285714286,8.628571428571428,0.3142857142857143,1.2,8.2,5.3428571428571425,0.02857142857142857,,0.42857142857142855,1.542857142857143,,,,2.657142857142857,1.7714285714285714,3.085714285714286,16.314285714285713,0.05714285714285714,0.7428571428571429,0.2,2.085714285714286,,66.8,7.9714285714285715,55.714285714285715,18.17142857142857,33.457142857142856,3.1142857142857143,,,,26.257142857142856,38.05714285714286,16.085714285714285,24.8,,,,,,2.8857142857142857,2.8857142857142857,3.257142857142857,1.6,,1.6857142857142857,1.0571428571428572,,19.8,15.82857142857143,0.07400000000000001,6.4,6.4,6.942857142857143,3.857142857142857,class,,,aaec77b6175f5f472f602ce3337319f04611f39b,2015-01-22 16:58:19+09:00
,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,13.0,4.0,aaec77b6175f5f472f602ce3337319f04611f39b,2015-01-22 16:58:19+09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,4.087301587301587,10.26984126984127,0.4444444444444444,9.38888888888889,2.007936507936508,6.436507936507937,0.4444444444444444,4.26984126984127,2.626984126984127,0.15873015873015872,4.412698412698413,6.698412698412699,2.2301587301587302,5.087301587301587,2.0555555555555554,2.0555555555555554,2.238095238095238,1.1825396825396826,0.7142857142857143,,,,,0.30158730158730157,,0.6825396825396826,0.29365079365079366,,,0.06761904761904762,2.0555555555555554,2.0555555555555554,2.238095238095238,1.1825396825396826,method,,,39cac53957257a7aa67f323cdafe7e69ba5ae051,2015-01-23 09:20:46+09:00
1.6842105263157894,1.6842105263157894,1.763157894736842,1.0789473684210527,9.473684210526315,0.2894736842105263,8.68421052631579,0.2894736842105263,1.236842105263158,9.18421052631579,6.315789473684211,0.02631578947368421,,0.42105263157894735,1.9210526315789473,,,,3.0526315789473686,1.9210526315789473,3.473684210526316,16.68421052631579,0.05263157894736842,0.7105263157894737,0.18421052631578946,2.526315789473684,,71.92105263157895,8.342105263157896,60.421052631578945,19.157894736842106,37.05263157894737,3.1842105263157894,,,,28.55263157894737,41.473684210526315,17.710526315789473,26.92105263157895,,,,,,2.9210526315789473,2.9210526315789473,3.236842105263158,1.5526315789473684,,1.6578947368421053,1.0526315789473684,,19.92105263157895,16.763157894736842,0.0681578947368421,7.131578947368421,7.131578947368421,7.7368421052631575,4.2368421052631575,class,,,39cac53957257a7aa67f323cdafe7e69ba5ae051,2015-01-23 09:20:46+09:00
,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,14.0,5.0,39cac53957257a7aa67f323cdafe7e69ba5ae051,2015-01-23 09:20:46+09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,4.265625,11.9296875,0.5546875,10.84375,2.5390625,7.6796875,0.5390625,4.4375,3.015625,0.1875,5.125,7.6171875,2.6875,5.890625,2.140625,2.140625,2.3359375,1.1796875,0.7734375,,,,,0.296875,,0.703125,0.2890625,,,0.06625,2.140625,2.140625,2.3359375,1.1796875,method,,,52430a77030e18fc36d1bdcca974bb031e8f6b54,2015-01-27 18:09:17+09:00
1.794871794871795,1.794871794871795,1.8974358974358974,1.0769230769230769,10.76923076923077,0.358974358974359,9.794871794871796,0.358974358974359,1.2307692307692308,9.974358974358974,6.9743589743589745,0.02564102564102564,,0.41025641025641024,1.9743589743589745,,,,3.0256410256410255,1.8974358974358974,3.4358974358974357,16.641025641025642,0.05128205128205128,0.6923076923076923,0.1794871794871795,2.5128205128205128,,76.3076923076923,8.564102564102564,64.33333333333333,20.641025641025642,40.717948717948715,3.4358974358974357,,,,30.512820512820515,43.8974358974359,19.0,29.128205128205128,,,,,,3.128205128205128,3.128205128205128,3.4871794871794872,1.5384615384615385,,1.6666666666666667,1.1025641025641026,,19.435897435897434,16.384615384615383,0.06871794871794872,7.333333333333333,7.333333333333333,7.9743589743589745,4.17948717948718,class,,,52430a77030e18fc36d1bdcca974bb031e8f6b54,2015-01-27 18:09:17+09:00
,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,14.0,5.0,52430a77030e18fc36d1bdcca974bb031e8f6b54,2015-01-27 18:09:17+09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,4.359375,12.1640625,0.5546875,11.0859375,2.546875,7.8671875,0.53125,4.5234375,3.109375,0.1953125,5.1953125,7.7421875,2.6953125,6.015625,2.1953125,2.1953125,2.40625,1.234375,0.859375,,,,,0.375,,0.75,0.3671875,,,0.06234375000000001,2.1953125,2.1953125,2.40625,1.234375,method,,,5ce80699f1a87e02033ba7963c27f6b94b8266a3,2015-01-28 21:10:56+09:00
1.8205128205128205,1.8205128205128205,1.9230769230769231,1.1282051282051282,10.923076923076923,0.358974358974359,9.948717948717949,0.358974358974359,1.2307692307692308,10.051282051282051,7.051282051282051,0.02564102564102564,,0.41025641025641024,2.0,,,,3.0256410256410255,1.9230769230769231,3.4358974358974357,16.641025641025642,0.05128205128205128,0.6923076923076923,0.1794871794871795,2.5128205128205128,,78.17948717948718,8.512820512820513,66.3076923076923,20.743589743589745,42.23076923076923,3.3846153846153846,,,,31.128205128205128,44.92307692307692,19.153846153846153,30.025641025641026,,,,,,3.230769230769231,3.230769230769231,3.5641025641025643,1.6666666666666667,,1.6666666666666667,1.1794871794871795,,19.384615384615383,16.384615384615383,0.06846153846153846,7.512820512820513,7.512820512820513,8.205128205128204,4.358974358974359,class,,,5ce80699f1a87e02033ba7963c27f6b94b8266a3,2015-01-28 21:10:56+09:00
,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,14.0,5.0,5ce80699f1a87e02033ba7963c27f6b94b8266a3,2015-01-28 21:10:56+09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,4.387596899224806,12.217054263565892,0.5581395348837209,11.13953488372093,2.5348837209302326,7.9147286821705425,0.5271317829457365,4.542635658914729,3.116279069767442,0.20155038759689922,5.224806201550388,7.775193798449612,2.682170542635659,6.054263565891473,2.201550387596899,2.201550387596899,2.4186046511627906,1.2325581395348837,0.8604651162790697,,,,,0.37209302325581395,,0.751937984496124,0.3643410852713178,,,0.06186046511627908,2.201550387596899,2.201550387596899,2.4186046511627906,1.2325581395348837,method,,,16c8195dc56a81e790f813c72476dad6cb9775ec,2015-01-30 14:52:46+09:00
