,,Java,Classes,LOC,PL,RFC,CLOC,CBO,NOC,LCOM,WMC,Readability,DIT,questions
2014,12,0.0,0.0,0.38144329896907214,0.4190871369294607,0.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,0.16666666666666663,0.6693928782549637,0.0,0.42857142857142855
2015,1,0.0,0.0,0.38144329896907214,0.4190871369294607,0.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,0.16666666666666663,0.6693928782549637,0.0,0.5714285714285714
2015,2,0.0,0.0,0.402061855670103,0.4190871369294607,0.20000000000000018,0.473684210526316,0.7931034482758622,0.0,0.8611111111111112,0.33333333333333326,0.6698772673296629,0.0,0.5714285714285714
2015,3,0.0,0.0,0.40721649484536077,0.4190871369294607,0.25,0.473684210526316,0.8275862068965517,0.0,1.0,0.375,0.6699329890481478,0.0,0.5714285714285714
2015,4,0.0,0.0,0.40721649484536077,0.4190871369294607,0.25,0.473684210526316,0.8275862068965517,0.0,1.0,0.375,0.6699329890481478,0.0,0.5714285714285714
2015,5,0.0,0.0,0.40721649484536077,0.4190871369294607,0.25,0.473684210526316,0.8275862068965517,0.0,1.0,0.375,0.6699329890481478,0.0,0.5714285714285714
2015,6,0.0,0.0,0.40721649484536077,0.4190871369294607,0.25,0.473684210526316,0.8275862068965517,0.0,1.0,0.375,0.6699329890481478,0.0,0.5714285714285714
2015,7,0.0,0.0,0.40721649484536077,0.4190871369294607,0.25,0.473684210526316,0.8275862068965517,0.0,1.0,0.375,0.6699329890481478,0.0,0.5714285714285714
2015,8,0.0,0.0,0.40721649484536077,0.4190871369294607,0.25,0.473684210526316,0.8275862068965517,0.0,1.0,0.375,0.6699329890481478,0.0,0.5714285714285714
2015,9,0.0,0.0,0.4201030927835051,0.44502074688796694,0.25,0.473684210526316,0.6551724137931034,0.0,0.8263888888888888,0.4270833333333333,0.6698192063129728,0.0,0.5714285714285714
2015,10,0.0,0.0,0.4587628865979381,0.4605809128630706,0.25,0.473684210526316,0.1379310344827586,0.0,0.3055555555555556,0.5833333333333334,0.6693928782549637,0.0,0.5714285714285714
2015,11,0.0,0.0,0.4587628865979381,0.4605809128630706,0.25,0.473684210526316,0.1379310344827586,0.0,0.3055555555555556,0.5833333333333334,0.6693928782549637,0.0,0.5714285714285714
2015,12,0.0,0.0,0.4587628865979381,0.4605809128630706,0.25,0.473684210526316,0.1379310344827586,0.0,0.3055555555555556,0.5833333333333334,0.6693928782549637,0.0,0.5714285714285714
2016,1,0.0,0.0,0.4587628865979381,0.4605809128630706,0.25,0.473684210526316,0.1379310344827586,0.0,0.3055555555555556,0.5833333333333334,0.6693928782549637,0.0,0.5714285714285714
2016,2,0.0,0.0,0.4587628865979381,0.4605809128630706,0.25,0.473684210526316,0.1379310344827586,0.0,0.3055555555555556,0.5833333333333334,0.6693928782549637,0.0,0.5714285714285714
2016,3,0.0,0.0,0.4587628865979381,0.4605809128630706,0.25,0.473684210526316,0.1379310344827586,0.0,0.3055555555555556,0.5833333333333334,0.6693928782549637,0.0,0.5714285714285714
2016,4,0.0,0.0,0.4587628865979381,0.4605809128630706,0.25,0.473684210526316,0.1379310344827586,0.0,0.3055555555555556,0.5833333333333334,0.6693928782549637,0.0,0.5714285714285714
2016,5,0.0,0.0,0.4587628865979381,0.4605809128630706,0.25,0.473684210526316,0.1379310344827586,0.0,0.3055555555555556,0.5833333333333334,0.6693928782549637,0.0,0.5714285714285714
2016,6,0.0,0.0,0.4587628865979381,0.4605809128630706,0.25,0.473684210526316,0.1379310344827586,0.0,0.3055555555555556,0.5833333333333334,0.6693928782549637,0.0,0.5714285714285714
2016,7,0.0,0.0,0.4587628865979381,0.4605809128630706,0.25,0.473684210526316,0.1379310344827586,0.0,0.3055555555555556,0.5833333333333334,0.6693928782549637,0.0,0.5714285714285714
2016,8,0.08333333333333333,0.08333333333333333,0.4394329896907216,0.44502074688796694,0.3125,0.40789473684210553,0.16666666666666655,0.0,0.28009259259259256,0.5833333333333334,0.5020446586912228,0.0,0.5714285714285714
2016,9,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.5714285714285714
2016,10,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.5714285714285714
2016,11,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839083,0.0,0.20370370370370358,0.5833333333333334,2.1017729198613065e-16,0.0,0.5714285714285714
2016,12,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.5714285714285714
2017,1,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.5714285714285714
2017,2,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.5714285714285714
2017,3,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.5714285714285714
2017,4,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.7142857142857143
2017,5,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.7142857142857143
2017,6,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.7142857142857143
2017,7,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.7142857142857143
2017,8,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.7142857142857143
2017,9,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.8571428571428571
2017,10,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.8571428571428571
2017,11,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.8571428571428571
2017,12,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.8571428571428571
2018,1,0.3333333333333333,0.3333333333333333,0.38144329896907214,0.39834024896265574,0.5,0.21052631578947395,0.25287356321839066,0.0,0.20370370370370358,0.5833333333333334,0.0,0.0,0.8571428571428571
2018,2,0.6666666666666666,0.6666666666666666,0.13659793814432983,0.149377593360996,0.25,0.2763157894736844,0.22413793103448273,0.0,0.0763888888888889,0.16666666666666663,0.36983793364451045,0.0,0.8571428571428571
2018,3,0.3333333333333333,0.3333333333333333,0.40435280641466215,0.4444444444444444,0.5,0.7368421052631582,0.32950191570881215,0.0,0.20370370370370358,0.4907407407407405,2.1017729198613065e-16,0.0,0.8571428571428571
2018,4,0.3333333333333333,0.3333333333333333,0.41580756013745723,0.46749654218533887,0.5,1.0,0.36781609195402293,0.0,0.20370370370370358,0.44444444444444436,0.0,0.0,0.8571428571428571
2018,5,0.3333333333333333,0.3333333333333333,0.41580756013745723,0.46749654218533887,0.5,1.0,0.36781609195402293,0.0,0.20370370370370358,0.44444444444444436,0.0,0.0,0.8571428571428571
2018,6,0.3333333333333333,0.3333333333333333,0.41580756013745723,0.46749654218533887,0.5,1.0,0.36781609195402293,0.0,0.20370370370370358,0.44444444444444436,0.0,0.0,0.8571428571428571
2018,7,0.3333333333333333,0.3333333333333333,0.41580756013745723,0.46749654218533887,0.5,1.0,0.36781609195402293,0.0,0.20370370370370358,0.44444444444444436,0.0,0.0,0.8571428571428571
2018,8,0.3333333333333333,0.3333333333333333,0.41580756013745723,0.46749654218533887,0.5,1.0,0.36781609195402293,0.0,0.20370370370370358,0.44444444444444436,0.0,0.0,0.8571428571428571
2018,9,0.3333333333333333,0.3333333333333333,0.41580756013745723,0.46749654218533887,0.5,1.0,0.36781609195402293,0.0,0.20370370370370358,0.44444444444444436,0.0,0.0,0.8571428571428571
2018,10,0.3333333333333333,0.3333333333333333,0.41580756013745723,0.46749654218533887,0.5,1.0,0.36781609195402293,0.0,0.20370370370370358,0.44444444444444436,0.0,0.0,0.8571428571428571
2018,11,0.3333333333333333,0.3333333333333333,0.41580756013745723,0.46749654218533887,0.5,1.0,0.36781609195402293,0.0,0.20370370370370358,0.44444444444444436,0.0,0.0,0.8571428571428571
2018,12,0.3333333333333333,0.3333333333333333,0.41580756013745723,0.46749654218533887,0.5,1.0,0.36781609195402293,0.0,0.20370370370370358,0.44444444444444436,0.0,0.0,0.8571428571428571
2019,1,1.0,1.0,0.0,1.474155053444191e-16,0.09999999999999964,1.7529837230923522e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.8571428571428571
2019,2,1.0,1.0,0.0,1.474155053444191e-16,0.09999999999999964,1.7529837230923522e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.8571428571428571
2019,3,0.42857142857142855,0.42857142857142855,0.3378743249877272,0.3780873345188698,0.4285714285714288,0.793233082706767,0.3267651888341543,0.0,0.16732804232804227,0.3650793650793649,0.1056688365956884,0.0,0.8571428571428571
2019,4,0.3333333333333333,0.3333333333333333,0.41580756013745723,0.46749654218533887,0.5,1.0,0.36781609195402293,0.0,0.20370370370370358,0.44444444444444436,0.0,0.0,0.8571428571428571
2019,5,0.3333333333333333,0.3333333333333333,0.41580756013745723,0.46749654218533887,0.5,1.0,0.36781609195402293,0.0,0.20370370370370358,0.44444444444444436,0.0,0.0,0.8571428571428571
2019,6,0.5,0.5,0.2826460481099657,0.3136237897648687,0.375,0.638157894736842,0.29597701149425276,0.0,0.14004629629629622,0.3055555555555554,0.18492196126265537,0.0,0.8571428571428571
2019,7,0.5,0.5,0.2826460481099657,0.3136237897648687,0.375,0.638157894736842,0.29597701149425276,0.0,0.14004629629629622,0.3055555555555554,0.18492196126265537,0.0,0.8571428571428571
2019,8,0.5333333333333332,0.5333333333333332,0.24828178694158076,0.2766251728907331,0.34999999999999964,0.5657894736842104,0.2816091954022988,0.0,0.12731481481481477,0.27777777777777773,0.2217916120034883,0.0,0.8571428571428571
2019,9,0.6666666666666666,0.6666666666666666,0.13659793814432983,0.149377593360996,0.25,0.2763157894736844,0.22413793103448273,0.0,0.0763888888888889,0.16666666666666663,0.36965268667248063,0.0,0.8571428571428571
2019,10,1.0,1.0,0.0,0.0,0.09999999999999876,0.0,0.0,0.0,0.0,0.0,0.9997506452660714,0.0,0.8571428571428571
2019,11,0.6666666666666666,0.6666666666666666,0.13659793814432983,0.149377593360996,0.25,0.2763157894736844,0.22413793103448273,0.0,0.0763888888888889,0.16666666666666663,0.3697144356631572,0.0,0.8571428571428571
2019,12,0.6666666666666666,0.6666666666666666,0.13659793814432983,0.149377593360996,0.25,0.2763157894736844,0.22413793103448273,0.0,0.0763888888888889,0.16666666666666663,0.3697144356631572,0.0,0.8571428571428571
2020,1,0.6666666666666666,0.6666666666666666,0.13659793814432983,0.149377593360996,0.25,0.2763157894736844,0.22413793103448273,0.0,0.0763888888888889,0.16666666666666663,0.3697144356631572,0.0,1.0
2020,2,0.6666666666666666,0.6666666666666666,0.13659793814432983,0.149377593360996,0.25,0.2763157894736844,0.22413793103448273,0.0,0.0763888888888889,0.16666666666666663,0.3697144356631572,0.0,1.0
2020,3,0.6666666666666666,0.6666666666666666,0.13659793814432983,0.149377593360996,0.25,0.2763157894736844,0.22413793103448273,0.0,0.0763888888888889,0.16666666666666663,0.3697144356631572,0.0,1.0
2020,4,0.6666666666666666,0.6666666666666666,0.13659793814432983,0.149377593360996,0.25,0.2763157894736844,0.22413793103448273,0.0,0.0763888888888889,0.16666666666666663,0.3697144356631572,0.0,1.0
2020,5,0.6666666666666666,0.6666666666666666,0.13659793814432983,0.149377593360996,0.25,0.2763157894736844,0.22413793103448273,0.0,0.0763888888888889,0.16666666666666663,0.3697144356631572,0.0,1.0
2020,6,0.6666666666666666,0.6666666666666666,0.13659793814432983,0.149377593360996,0.25,0.2763157894736844,0.22413793103448273,0.0,0.0763888888888889,0.16666666666666663,0.3697144356631572,0.0,1.0
2020,7,0.6666666666666666,0.6666666666666666,0.13659793814432983,0.149377593360996,0.25,0.2763157894736844,0.22413793103448273,0.0,0.0763888888888889,0.16666666666666663,0.3697144356631572,0.0,1.0
2020,8,1.0,1.0,0.0,0.0,0.09999999999999876,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020,9,1.0,1.0,0.0,0.0,0.09999999999999876,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
